tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
Delta Desk,Online,Farm,Not Available,"$15,830",Standard,"$44,320","$3,170",Single,2-page,4.75%,Simple,2-year amend,Yes,No,5631.46,4 stars,7,7,1 dependent,"$13,850","$1,800",Yes
River Desk,Online,Self-employed,2022 TY,"$14,060",Standard,"$75,010","$4,690",Single,2-page,5.50%,Simple,On time,Yes,No,17021.88,5 stars,7,10,0 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Wages,2022 TY,"$63,270",Standard,"$2,060","$3,440",Single,2-page,0.00%,Simple,On time,No,No,4458.76,4 stars,7,7,1 dependent,"$13,850","$1,600",No
River Desk,Online,Wages,Not Available,"$62,490",Standard,"$2,040","$3,400",Single,2-page,7.00%,Simple,On time,Yes,No,3928.34,5 stars,6,7,3 dependents,"$13,850","$4,800",Yes
North Desk,Preparer,Wages,2020 TY,"$40,790",Standard,"$1,330","$2,220",Married Joint,2-page,0.00%,Simple,On time,Yes,No,0.0,5 stars,6,4,1 dependent,"$27,700","$1,600",No
Delta Desk,Walk-in,Mixed,Not Available,"$54,470",Itemized,"$24,760","$19,810",Head of Household,2-page,0.00%,Simple,On time,Yes,Yes,8752.64,5 stars,9,11,0 dependents,"$27,690",$0,No
Highland Desk,Preparer,Contract,2021 TY,"$51,330",Standard,"$88,000","$7,330",Single,8-page,0.00%,Schedule-heavy,3-year amend,Yes,No,17083.89,4 stars,3,21,4 dependents,"$13,850","$6,400",No
Capitol Desk,Online,Self-employed,2023 TY,"$8,630",Standard,"$46,010","$2,880",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,3427.32,5 stars,3,6,0 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,2022 TY,"$58,610",Standard,"$1,910","$3,190",Married Joint,16-page,6.20%,Audit-ready,On time,Yes,No,5485.04,4 stars,6,12,3 dependents,"$27,700",$0,Yes
Highland Desk,Walk-in,Pension,2022 TY,"$34,730",Standard,$0,"$6,130",Head of Household,8-page,6.20%,Schedule-heavy,On time,No,No,2820.72,4 stars,7,9,1 dependent,"$20,800",$0,Yes
Highland Desk,Preparer,Wages,Not Available,"$46,260",Standard,"$1,510","$2,510",Married Joint,2-page,7.00%,Simple,On time,No,Yes,1899.52,4 stars,6,5,1 dependent,"$27,700","$1,600",Yes
Delta Desk,Online,Pension,2020 TY,"$61,800",Itemized,$0,"$10,910",Single,2-page,4.75%,Simple,On time,Yes,No,2792.25,5 stars,2,8,3 dependents,"$20,670","$4,800",Yes
Highland Desk,Walk-in,Wages,Not Available,"$42,180",Standard,"$1,380","$2,290",Married Joint,2-page,4.75%,Simple,No filing yet,No,Yes,2171.62,3 stars,12,5,1 dependent,"$27,700",$0,Yes
Central Desk,Online,Self-employed,2021 TY,"$8,090",Standard,"$43,150","$2,700",Single,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,5861.51,5 stars,6,10,1 dependent,"$13,850",$0,Yes
Harbor Desk,Online,Contract,2023 TY,"$7,890",Itemized,"$13,530","$1,130",Qualifying Widow,8-page,0.00%,Schedule-heavy,On time,Yes,No,378.33,5 stars,5,7,0 dependents,"$32,450",$800,No
Central Desk,Online,Wages,Not Available,"$40,310",Itemized,"$1,310","$2,190",Married Joint,8-page,7.00%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,10,9,1 dependent,"$57,270","$1,600",Yes
Highland Desk,Online,Self-employed,2019 TY,"$1,800",Standard,"$9,600",$600,Married Joint,8-page,4.75%,Schedule-heavy,On time,No,No,0.0,4 stars,5,6,1 dependent,"$27,700","$1,600",Yes
Central Desk,Online,Royalty,Not Available,"$10,850",Standard,"$21,710","$75,980",Single,2-page,4.75%,Simple,On time,Yes,Yes,12483.72,5 stars,1,12,0 dependents,"$13,850",$200,Yes
North Desk,Preparer,Wages,2022 TY,"$118,860",Standard,"$3,880","$6,460",Married Joint,8-page,4.75%,Schedule-heavy,No filing yet,Yes,No,22104.75,4 stars,16,19,2 dependents,"$27,700",$0,Yes
Prairie Desk,Online,Wages,2023 TY,"$48,940",Standard,"$1,600","$2,660",Head of Household,2-page,6.20%,Simple,On time,Yes,No,4940.99,5 stars,4,5,1 dependent,"$20,800",$0,Yes
Prairie Desk,Preparer,Self-employed,2020 TY,"$1,800",Itemized,"$9,600",$600,Married Joint,8-page,3.00%,Schedule-heavy,No filing yet,Yes,No,0.0,4 stars,11,6,0 dependents,"$37,260",$400,Yes
North Desk,Preparer,Wages,2022 TY,"$76,910",Standard,"$2,510","$4,180",Married Joint,2-page,5.50%,Simple,No filing yet,Yes,No,10925.03,4 stars,8,9,0 dependents,"$27,700",$0,Yes
Highland Desk,Walk-in,Wages,2023 TY,"$40,990",Standard,"$1,340","$2,230",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,No,3027.3,5 stars,2,9,1 dependent,"$20,800",$0,Yes
North Desk,Online,Mixed,2022 TY,"$64,340",Standard,"$29,250","$23,400",Head of Household,2-page,6.20%,Simple,On time,Yes,Yes,19854.85,5 stars,4,12,0 dependents,"$20,800",$0,Yes
River Desk,Preparer,Investment,2020 TY,"$16,670",Standard,"$8,330","$58,330",Single,2-page,0.00%,Simple,No filing yet,Yes,No,4771.33,4 stars,14,9,0 dependents,"$13,850",$800,No
Harbor Desk,Online,Wages,2021 TY,"$43,090",Itemized,"$1,410","$2,340",Married Joint,2-page,0.00%,Simple,2-year amend,No,Yes,0.0,3 stars,15,5,1 dependent,"$42,810","$1,600",No
River Desk,Preparer,Wages,2023 TY,"$53,110",Standard,"$1,730","$2,890",Married Joint,16-page,4.75%,Audit-ready,On time,Yes,Yes,3902.01,4 stars,1,11,0 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Pension,2019 TY,"$51,110",Standard,$0,"$9,020",Married Joint,2-page,6.20%,Simple,On time,No,No,4435.7,4 stars,11,6,0 dependents,"$27,700",$0,Yes
Capitol Desk,Preparer,Mixed,2023 TY,"$39,150",Itemized,"$17,790","$14,240",Single,2-page,7.00%,Simple,On time,No,No,8633.56,4 stars,10,7,1 dependent,"$19,390",$0,Yes
North Desk,Online,Pension,Not Available,"$34,040",Standard,$0,"$6,010",Single,2-page,5.50%,Simple,No filing yet,Yes,No,4515.71,4 stars,11,4,0 dependents,"$13,850",$0,Yes
Prairie Desk,Preparer,Mixed,2019 TY,"$39,620",Itemized,"$18,010","$14,410",Head of Household,2-page,3.00%,Simple,2-year amend,Yes,No,0.0,4 stars,5,8,4 dependents,"$30,780","$6,400",Yes
Harbor Desk,Online,Farm,2020 TY,"$3,830",Itemized,"$10,710",$770,Head of Household,8-page,3.00%,Schedule-heavy,2-year amend,Yes,No,0.0,4 stars,7,6,3 dependents,"$23,710","$4,800",Yes
North Desk,Online,Self-employed,2023 TY,"$12,790",Standard,"$68,230","$4,260",Head of Household,16-page,5.50%,Audit-ready,On time,No,Yes,10532.99,3 stars,5,14,1 dependent,"$20,800","$1,600",Yes
Highland Desk,Preparer,Wages,2019 TY,"$17,590",Standard,$570,$960,Qualifying Widow,8-page,3.00%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,1,7,3 dependents,"$27,700","$4,800",Yes
Central Desk,Online,Pension,2022 TY,"$34,760",Standard,$0,"$6,130",Married Separate,8-page,5.50%,Schedule-heavy,No filing yet,Yes,Yes,4106.4,4 stars,16,9,2 dependents,"$13,850",$0,Yes
Prairie Desk,Preparer,Mixed,2023 TY,"$55,430",Standard,"$25,200","$20,160",Married Separate,2-page,6.20%,Simple,On time,Yes,No,17695.75,5 stars,7,11,0 dependents,"$13,850",$0,Yes
Capitol Desk,Preparer,Wages,2022 TY,"$63,730",Standard,"$2,080","$3,460",Married Separate,2-page,4.75%,Simple,2-year amend,Yes,Yes,7896.4,4 stars,3,7,2 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Wages,2021 TY,"$70,070",Itemized,"$2,290","$3,810",Married Joint,2-page,4.75%,Simple,On time,No,No,6072.06,4 stars,4,8,0 dependents,"$35,510",$0,Yes
Delta Desk,Preparer,Self-employed,2023 TY,"$10,300",Standard,"$54,930","$3,430",Married Joint,8-page,0.00%,Schedule-heavy,No filing yet,No,No,3818.23,3 stars,11,12,1 dependent,"$27,700",$0,No
Harbor Desk,Preparer,Wages,2022 TY,"$82,870",Standard,"$2,700","$4,500",Single,2-page,3.00%,Simple,On time,Yes,No,12868.32,5 stars,5,10,1 dependent,"$13,850","$1,600",Yes
Highland Desk,Walk-in,Wages,2021 TY,"$77,460",Standard,"$2,530","$4,210",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,11382.96,5 stars,5,14,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Wages,2022 TY,"$66,890",Standard,"$2,180","$3,640",Single,2-page,4.75%,Simple,On time,Yes,Yes,9539.36,5 stars,1,8,0 dependents,"$13,850",$0,Yes
Delta Desk,Preparer,Mixed,2023 TY,"$58,200",Standard,"$26,460","$21,170",Single,2-page,0.00%,Simple,No filing yet,Yes,No,13176.85,4 stars,5,11,3 dependents,"$13,850",$800,No
Harbor Desk,Preparer,Wages,2023 TY,"$73,610",Itemized,"$2,400","$4,000",Married Joint,2-page,0.00%,Simple,On time,Yes,No,3012.14,5 stars,11,8,0 dependents,"$54,330",$0,No
North Desk,Online,Mixed,2022 TY,"$35,650",Itemized,"$16,200","$12,960",Married Joint,8-page,0.00%,Schedule-heavy,No filing yet,Yes,No,2984.54,4 stars,16,12,0 dependents,"$37,460",$0,No
Central Desk,Online,Wages,2021 TY,"$27,370",Standard,$890,"$1,490",Single,8-page,5.50%,Schedule-heavy,On time,No,No,3037.85,4 stars,1,8,0 dependents,"$13,850",$0,Yes
Delta Desk,Online,Wages,2020 TY,"$66,320",Standard,"$2,160","$3,600",Head of Household,2-page,5.50%,Simple,On time,Yes,No,9454.65,5 stars,6,8,1 dependent,"$20,800",$0,Yes
Prairie Desk,Preparer,Self-employed,2021 TY,"$13,600",Itemized,"$72,530","$4,530",Head of Household,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,3791.58,5 stars,8,15,2 dependents,"$42,030","$3,200",Yes
Capitol Desk,Online,Wages,2019 TY,"$81,120",Itemized,"$2,650","$4,410",Single,8-page,4.75%,Schedule-heavy,3-year amend,Yes,No,7605.28,4 stars,10,14,2 dependents,"$21,890","$3,200",Yes
Prairie Desk,Preparer,Self-employed,Not Available,"$5,590",Standard,"$29,830","$1,860",Single,2-page,0.00%,Simple,No filing yet,Yes,Yes,0.0,4 stars,11,4,1 dependent,"$13,850","$2,400",No
Prairie Desk,Preparer,Wages,2021 TY,"$37,030",Itemized,"$1,210","$2,010",Single,8-page,4.75%,Schedule-heavy,No filing yet,Yes,No,2009.67,4 stars,10,9,0 dependents,"$27,580",$0,Yes
Highland Desk,Preparer,Wages,2023 TY,"$67,190",Itemized,"$2,190","$3,650",Married Separate,2-page,0.00%,Simple,No filing yet,Yes,Yes,7201.03,4 stars,6,8,0 dependents,"$17,830",$0,No
Central Desk,Online,Wages,2020 TY,"$55,470",Standard,"$1,810","$3,010",Head of Household,2-page,7.00%,Simple,On time,Yes,Yes,5790.31,5 stars,0,6,1 dependent,"$20,800","$1,600",Yes
Capitol Desk,Preparer,Mixed,2021 TY,"$11,780",Standard,"$5,360","$4,290",Single,2-page,0.00%,Simple,2-year amend,No,Yes,22.39,3 stars,10,2,2 dependents,"$13,850",$0,No
River Desk,Preparer,Wages,2022 TY,"$65,320",Standard,"$2,130","$3,550",Married Separate,2-page,4.75%,Simple,On time,No,No,5594.08,4 stars,3,7,2 dependents,"$13,850","$3,200",Yes
Central Desk,Online,Investment,2021 TY,"$2,400",Standard,"$1,200","$8,400",Single,2-page,0.00%,Simple,On time,Yes,No,0.0,5 stars,9,1,0 dependents,"$13,850",$0,No
North Desk,Online,Wages,2023 TY,"$36,170",Standard,"$1,180","$1,970",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,4,4,1 dependent,"$27,700","$2,000",Yes
Capitol Desk,Online,Mixed,Not Available,"$65,200",Standard,"$29,640","$23,710",Qualifying Widow,2-page,0.00%,Simple,On time,Yes,Yes,11179.16,5 stars,4,13,1 dependent,"$27,700","$1,600",No
Harbor Desk,Walk-in,Mixed,2023 TY,"$73,010",Itemized,"$33,190","$26,550",Single,8-page,7.00%,Schedule-heavy,No filing yet,Yes,Yes,22798.72,4 stars,8,19,1 dependent,"$20,100","$1,600",Yes
Delta Desk,Online,Wages,2020 TY,"$30,200",Standard,$980,"$1,640",Single,2-page,0.00%,Simple,On time,No,Yes,0.0,4 stars,11,3,1 dependent,"$13,850","$1,600",No
Harbor Desk,Online,Mixed,2023 TY,"$37,470",Standard,"$17,030","$13,620",Married Joint,2-page,6.20%,Simple,No filing yet,No,No,3374.32,3 stars,2,7,1 dependent,"$27,700","$1,600",Yes
North Desk,Online,Wages,2020 TY,"$57,980",Standard,"$1,890","$3,150",Married Joint,2-page,5.50%,Simple,2-year amend,Yes,Yes,4921.67,4 stars,8,7,1 dependent,"$27,700",$0,Yes
Prairie Desk,Online,Mixed,2023 TY,"$72,290",Standard,"$32,860","$26,290",Head of Household,2-page,3.00%,Simple,On time,No,No,14802.99,4 stars,4,14,3 dependents,"$20,800","$4,800",Yes
North Desk,Online,Wages,2022 TY,"$46,160",Itemized,"$1,510","$2,510",Qualifying Widow,8-page,3.00%,Schedule-heavy,On time,Yes,No,0.0,5 stars,0,10,1 dependent,"$46,280",$0,Yes
Harbor Desk,Preparer,Investment,2021 TY,"$14,640",Standard,"$7,320","$51,240",Single,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,7031.27,5 stars,9,13,0 dependents,"$13,850",$0,Yes
River Desk,Online,Contract,2020 TY,"$38,630",Standard,"$66,220","$5,520",Single,2-page,6.20%,Simple,On time,Yes,No,23684.11,5 stars,10,12,0 dependents,"$13,850",$0,Yes
Prairie Desk,Preparer,Wages,2019 TY,"$48,760",Standard,"$1,590","$2,650",Married Separate,8-page,6.20%,Schedule-heavy,No filing yet,Yes,No,7421.2,4 stars,2,10,1 dependent,"$13,850",$0,Yes
Harbor Desk,Online,Self-employed,2021 TY,"$14,550",Standard,"$77,600","$4,850",Single,2-page,0.00%,Simple,On time,No,No,13150.66,4 stars,9,10,1 dependent,"$13,850",$0,No
Central Desk,Online,Investment,2023 TY,"$4,240",Standard,"$2,120","$14,830",Head of Household,16-page,4.75%,Audit-ready,On time,No,No,0.0,3 stars,8,7,1 dependent,"$20,800","$1,800",Yes
Capitol Desk,Preparer,Wages,2023 TY,"$53,260",Standard,"$1,740","$2,890",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,2338.97,5 stars,8,6,2 dependents,"$27,700",$200,Yes
Delta Desk,Preparer,Investment,Not Available,"$2,400",Standard,"$1,200","$8,400",Single,2-page,0.00%,Simple,On time,Yes,Yes,0.0,5 stars,5,1,0 dependents,"$13,850",$0,No
Highland Desk,Walk-in,Self-employed,2020 TY,"$4,950",Standard,"$26,400","$1,650",Head of Household,2-page,5.50%,Simple,On time,Yes,No,1454.25,5 stars,3,3,1 dependent,"$20,800",$0,Yes
North Desk,Online,Contract,2022 TY,"$31,670",Standard,"$54,300","$4,520",Single,2-page,4.75%,Simple,On time,Yes,No,11209.91,5 stars,0,10,2 dependents,"$13,850","$3,200",Yes
North Desk,Online,Royalty,2021 TY,"$7,990",Standard,"$15,980","$55,930",Married Joint,2-page,3.00%,Simple,On time,Yes,No,4754.32,5 stars,0,8,0 dependents,"$27,700",$0,Yes
Harbor Desk,Preparer,Wages,2022 TY,"$49,990",Itemized,"$1,630","$2,720",Married Joint,2-page,6.20%,Simple,2-year amend,Yes,No,143.19,4 stars,2,6,0 dependents,"$51,880",$0,Yes
North Desk,Online,Mixed,2021 TY,"$30,550",Itemized,"$13,880","$11,110",Married Joint,2-page,6.20%,Simple,On time,Yes,No,0.0,5 stars,6,6,0 dependents,"$54,770",$0,Yes
River Desk,Preparer,Mixed,2021 TY,"$39,260",Standard,"$17,850","$14,280",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,Yes,6724.31,5 stars,1,12,0 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,2022 TY,"$63,690",Standard,"$2,080","$3,460",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,No,668.87,5 stars,8,12,2 dependents,"$27,700","$3,200",No
Highland Desk,Online,Wages,2020 TY,"$78,740",Standard,"$2,570","$4,280",Qualifying Widow,2-page,7.00%,Simple,On time,No,No,5111.91,4 stars,7,9,3 dependents,"$27,700","$4,800",Yes
River Desk,Preparer,Royalty,2022 TY,"$1,200",Itemized,"$2,400","$8,400",Qualifying Widow,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,0.0,5 stars,4,6,1 dependent,"$41,390","$1,600",Yes
River Desk,Preparer,Wages,2023 TY,"$38,670",Standard,"$1,260","$2,100",Married Joint,2-page,4.75%,Simple,No filing yet,Yes,Yes,2231.86,4 stars,2,4,0 dependents,"$27,700",$0,Yes
Harbor Desk,Walk-in,Mixed,2020 TY,"$45,530",Standard,"$20,690","$16,550",Single,16-page,0.00%,Audit-ready,On time,Yes,No,7430.46,4 stars,6,14,1 dependent,"$13,850","$1,600",No
Capitol Desk,Walk-in,Pension,Not Available,"$39,460",Standard,$0,"$6,960",Married Separate,2-page,6.20%,Simple,On time,Yes,No,894.01,5 stars,9,5,2 dependents,"$13,850","$3,200",Yes
Capitol Desk,Online,Wages,2022 TY,"$65,950",Itemized,"$2,150","$3,580",Qualifying Widow,8-page,5.50%,Schedule-heavy,On time,Yes,No,3443.32,5 stars,4,12,0 dependents,"$50,840",$0,Yes
Capitol Desk,Preparer,Mixed,2023 TY,"$47,310",Standard,"$21,510","$17,210",Single,16-page,6.20%,Audit-ready,On time,Yes,No,10008.03,4 stars,9,14,2 dependents,"$13,850","$3,200",Yes
North Desk,Walk-in,Farm,2023 TY,"$11,560",Itemized,"$32,370","$2,310",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,No,594.23,5 stars,3,10,0 dependents,"$42,960",$0,Yes
North Desk,Online,Mixed,2023 TY,"$34,210",Standard,"$15,550","$12,440",Married Joint,8-page,6.20%,Schedule-heavy,No filing yet,Yes,No,4470.67,4 stars,1,11,0 dependents,"$27,700",$0,Yes
Delta Desk,Online,Wages,2023 TY,"$51,620",Standard,"$1,680","$2,810",Single,2-page,5.50%,Simple,2-year amend,Yes,No,7183.04,4 stars,7,6,0 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Wages,2023 TY,"$82,400",Itemized,"$2,690","$4,480",Married Joint,8-page,7.00%,Schedule-heavy,On time,Yes,Yes,7422.33,5 stars,10,14,0 dependents,"$43,650",$400,Yes
Central Desk,Online,Contract,2022 TY,"$16,280",Itemized,"$27,900","$2,330",Single,2-page,3.00%,Simple,2-year amend,No,No,0.0,3 stars,14,5,2 dependents,"$26,260","$3,200",Yes
Highland Desk,Walk-in,Wages,2021 TY,"$55,650",Standard,"$1,810","$3,020",Married Separate,2-page,3.00%,Simple,On time,Yes,Yes,4059.3,5 stars,11,6,1 dependent,"$13,850","$1,600",Yes
River Desk,Online,Mixed,2020 TY,"$45,930",Standard,"$20,880","$16,700",Head of Household,16-page,5.50%,Audit-ready,On time,Yes,No,11474.8,4 stars,1,14,0 dependents,"$20,800",$0,Yes
Delta Desk,Walk-in,Wages,2022 TY,"$91,490",Standard,"$2,980","$4,970",Head of Household,2-page,4.75%,Simple,No filing yet,Yes,No,14788.68,4 stars,0,11,1 dependent,"$20,800","$1,600",Yes
Harbor Desk,Preparer,Mixed,2019 TY,"$37,940",Standard,"$17,250","$13,800",Married Joint,2-page,5.50%,Simple,On time,Yes,No,7075.37,5 stars,6,7,0 dependents,"$27,700",$0,Yes
Delta Desk,Preparer,Contract,2021 TY,"$32,850",Standard,"$56,310","$4,690",Single,16-page,5.50%,Audit-ready,On time,Yes,No,17475.11,4 stars,11,15,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Mixed,2019 TY,"$63,230",Standard,"$28,740","$22,990",Married Separate,2-page,5.50%,Simple,On time,Yes,No,20196.72,5 stars,11,12,0 dependents,"$13,850",$0,Yes
Highland Desk,Online,Farm,2022 TY,"$13,490",Standard,"$37,770","$2,700",Head of Household,2-page,6.20%,Simple,On time,Yes,No,4940.21,5 stars,3,5,1 dependent,"$20,800",$0,Yes
River Desk,Preparer,Wages,2020 TY,"$52,390",Standard,"$1,710","$2,850",Married Joint,2-page,3.00%,Simple,On time,Yes,No,5057.51,5 stars,4,6,0 dependents,"$27,700",$0,Yes
North Desk,Walk-in,Mixed,2022 TY,"$37,470",Standard,"$17,030","$13,630",Head of Household,8-page,6.20%,Schedule-heavy,2-year amend,Yes,No,3298.96,4 stars,12,12,2 dependents,"$20,800","$3,200",Yes
North Desk,Walk-in,Pension,2023 TY,"$37,320",Standard,$0,"$6,590",Single,8-page,0.00%,Schedule-heavy,On time,Yes,Yes,1979.16,5 stars,10,9,0 dependents,"$13,850",$0,No
Central Desk,Walk-in,Mixed,2023 TY,"$56,990",Standard,"$25,910","$20,730",Head of Household,2-page,5.50%,Simple,2-year amend,Yes,No,11937.05,4 stars,3,11,2 dependents,"$20,800","$4,000",Yes
Delta Desk,Preparer,Wages,2021 TY,"$62,140",Itemized,"$2,030","$3,380",Single,8-page,6.20%,Schedule-heavy,On time,Yes,No,2613.46,5 stars,11,12,2 dependents,"$29,960","$3,200",Yes
River Desk,Preparer,Pension,2022 TY,"$44,000",Standard,$0,"$7,760",Single,2-page,3.00%,Simple,On time,Yes,Yes,5908.65,5 stars,9,5,0 dependents,"$13,850",$0,Yes
Delta Desk,Preparer,Wages,2022 TY,"$32,200",Standard,"$1,050","$1,750",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,1131.32,5 stars,0,8,0 dependents,"$27,700",$0,Yes
Capitol Desk,Preparer,Mixed,2022 TY,"$26,940",Itemized,"$12,240","$9,800",Single,8-page,3.00%,Schedule-heavy,On time,Yes,No,0.0,5 stars,10,10,3 dependents,"$20,790","$4,800",Yes
Central Desk,Preparer,Farm,2023 TY,"$31,150",Standard,"$87,210","$6,230",Single,16-page,5.50%,Audit-ready,On time,Yes,Yes,25844.58,4 stars,7,18,1 dependent,"$13,850",$200,Yes
Capitol Desk,Online,Wages,2021 TY,"$53,110",Standard,"$1,730","$2,890",Single,2-page,4.75%,Simple,On time,Yes,No,3868.93,5 stars,11,6,1 dependent,"$13,850","$1,600",Yes
North Desk,Online,Wages,Not Available,"$39,930",Standard,"$1,300","$2,170",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,568.11,5 stars,2,4,0 dependents,"$27,700",$400,No
North Desk,Preparer,Wages,2020 TY,"$88,640",Itemized,"$2,890","$4,820",Married Separate,2-page,6.20%,Simple,On time,Yes,No,14544.86,5 stars,11,10,0 dependents,"$23,410",$0,Yes
Prairie Desk,Online,Wages,2023 TY,"$63,260",Standard,"$2,060","$3,440",Single,2-page,3.00%,Simple,3-year amend,Yes,No,6897.66,4 stars,1,7,1 dependent,"$13,850",$0,Yes
Capitol Desk,Online,Wages,2022 TY,"$69,810",Standard,"$2,280","$3,790",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,2093.45,5 stars,0,8,3 dependents,"$27,700","$5,000",Yes
Harbor Desk,Online,Self-employed,2021 TY,"$9,900",Standard,"$52,820","$3,300",Head of Household,2-page,5.50%,Simple,On time,Yes,No,7386.35,5 stars,5,7,0 dependents,"$20,800",$0,Yes
Highland Desk,Preparer,Wages,2023 TY,"$50,000",Standard,"$1,630","$2,720",Single,2-page,0.00%,Simple,On time,No,Yes,4591.83,4 stars,7,6,2 dependents,"$13,850",$0,No
River Desk,Walk-in,Self-employed,2020 TY,"$9,730",Itemized,"$51,920","$3,240",Single,16-page,0.00%,Audit-ready,On time,Yes,Yes,3083.08,4 stars,2,12,1 dependent,"$22,450","$1,600",No
Prairie Desk,Preparer,Wages,2023 TY,"$26,510",Standard,$860,"$1,440",Head of Household,2-page,7.00%,Simple,On time,No,No,1494.65,4 stars,3,3,0 dependents,"$20,800",$0,Yes
River Desk,Walk-in,Wages,2022 TY,"$55,100",Standard,"$1,800","$2,990",Head of Household,2-page,5.50%,Simple,No filing yet,Yes,Yes,6300.79,4 stars,7,6,0 dependents,"$20,800",$0,Yes
Central Desk,Walk-in,Wages,2020 TY,"$63,580",Standard,"$2,070","$3,460",Married Joint,8-page,0.00%,Schedule-heavy,On time,Yes,No,4336.8,5 stars,1,12,0 dependents,"$27,700",$0,No
Central Desk,Online,Self-employed,2019 TY,"$20,640",Standard,"$110,090","$6,880",Head of Household,2-page,6.20%,Simple,On time,No,No,27610.7,4 stars,2,15,1 dependent,"$20,800",$0,Yes
Central Desk,Online,Mixed,2023 TY,"$44,320",Standard,"$20,140","$16,120",Single,2-page,4.75%,Simple,On time,Yes,Yes,10199.34,5 stars,1,8,1 dependent,"$13,850","$1,600",Yes
River Desk,Online,Wages,2021 TY,"$11,040",Standard,$360,$600,Married Joint,2-page,0.00%,Simple,On time,Yes,No,0.0,5 stars,11,1,1 dependent,"$27,700","$1,600",No
Prairie Desk,Online,Pension,2023 TY,"$39,520",Standard,$0,"$6,970",Married Separate,2-page,5.50%,Simple,On time,Yes,No,4384.07,5 stars,11,5,0 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Mixed,2023 TY,"$88,100",Itemized,"$40,050","$32,040",Single,2-page,4.75%,Simple,2-year amend,Yes,No,27902.33,4 stars,12,17,1 dependent,"$20,100","$1,600",Yes
Harbor Desk,Online,Wages,2023 TY,"$76,170",Itemized,"$2,480","$4,140",Married Separate,8-page,3.00%,Schedule-heavy,On time,Yes,No,7664.88,5 stars,8,14,1 dependent,"$25,180","$1,600",Yes
Harbor Desk,Walk-in,Contract,2021 TY,"$15,500",Standard,"$26,580","$2,210",Married Joint,2-page,6.20%,Simple,On time,No,No,2236.92,4 stars,1,4,1 dependent,"$27,700",$0,Yes
Capitol Desk,Preparer,Wages,2023 TY,"$70,090",Standard,"$2,290","$3,810",Married Separate,2-page,3.00%,Simple,No filing yet,Yes,Yes,10251.5,4 stars,4,8,1 dependent,"$13,850",$0,Yes
Capitol Desk,Online,Wages,Not Available,"$40,660",Standard,"$1,330","$2,210",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,1801.36,5 stars,4,4,0 dependents,"$27,700",$0,Yes
North Desk,Walk-in,Mixed,2020 TY,"$20,560",Standard,"$9,350","$7,480",Single,2-page,3.00%,Simple,No filing yet,Yes,No,531.77,4 stars,15,4,1 dependent,"$13,850","$1,600",Yes
North Desk,Walk-in,Wages,2021 TY,"$49,350",Standard,"$1,610","$2,680",Single,2-page,6.20%,Simple,No filing yet,Yes,Yes,7079.47,4 stars,8,5,0 dependents,"$13,850",$0,Yes
River Desk,Preparer,Wages,2021 TY,"$59,060",Standard,"$1,930","$3,210",Single,16-page,5.50%,Audit-ready,On time,Yes,No,9089.97,4 stars,9,12,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Investment,2022 TY,"$2,400",Standard,"$1,200","$8,400",Married Separate,2-page,7.00%,Simple,On time,Yes,No,1066.19,5 stars,4,1,0 dependents,"$13,850",$0,Yes
Prairie Desk,Walk-in,Wages,2023 TY,"$31,670",Standard,"$1,030","$1,720",Single,2-page,3.00%,Simple,No filing yet,Yes,No,1256.9,4 stars,8,3,1 dependent,"$13,850","$1,600",Yes
