aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
787-9,Boeing,2009,"46,975 hrs","30,522 cycles",GEnx-1B,"4,939 hrs","2,453 cycles",C-Check Due,MSG-3,On Lease,Europe,No,Yes,None,Excellent,296 seats,2 ADs,50,85.2,"3,526 kg/hr",60469000.0,52846000.0,56124000.0
747-8F,Boeing,2003,"65,952 hrs","36,662 cycles",GEnx-2B,"5,156 hrs","3,705 cycles",C-Check Due,MSG-3,Owned,Africa,Yes,No,None,Fair,Freighter (0 seats),0 ADs,54,17.0,"1,829 kg/hr",30225000.0,28531000.0,28003000.0
777-300ER,BOEING,2005,"49,136 hrs","20,640 cycles",GE90-115B,"7,357 hrs","3,436 cycles",Fresh D-Check,MSG-3,Owned,Europe,Yes,No,Minor,Excellent,396 seats,2 ADs,53,38.3,"2,830 kg/hr",29186000.0,34704000.0,32111000.0
A330-300,AIRBUS,2012,"41,163 hrs","22,142 cycles",CF6-80E1,"6,741 hrs","2,876 cycles",C-Check Due,Hourly Inspection,On Lease,Asia-Pacific,Yes,No,None,Good,277 seats,2 ADs,29,69.5,"1,930 kg/hr",45932000.0,45430000.0,44100000.0
737-800,boeing,1999,"78,483 hrs","39,961 cycles",CFM56-7B,"8,146 hrs","3,956 cycles",Fresh C-Check,OEM Managed,Off Lease,Asia-Pacific,Yes,No,None,Good,189 seats,1 ADs,53,75.5,"2,300 kg/hr",9448000.0,8487000.0,9717000.0
ATR 72-600,atr,2015,"26,246 hrs","15,242 cycles",PW127M,"5,667 hrs","3,244 cycles",Fresh C-Check,MSG-3,Off Lease,North America,Yes,Yes,None,Good,70 seats,2 ADs,38,49.7,"2,800 kg/hr",15684000.0,13585000.0,12478000.0
A330-300,Airbus,2018,"15,794 hrs","7,021 cycles",Trent 700,"2,205 hrs","1,231 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,No,None,Excellent,277 seats,1 ADs,56,46.8,"1,788 kg/hr",84730000.0,75207000.0,79008000.0
CRJ900,Bombardier,2001,"59,570 hrs","39,551 cycles",CF34-8C5,"5,471 hrs","3,951 cycles",Fresh C-Check,MSG-3,On Lease,Africa,Yes,No,None,Poor,76 seats,2 ADs,5,17.3,"2,783 kg/hr",5574000.0,4819000.0,4914000.0
747-8F,BOEING,2012,"43,800 hrs","27,006 cycles",GEnx-2B,"7,425 hrs","4,686 cycles",Fresh D-Check,OEM Managed,Off Lease,Middle East,Yes,Yes,Minor,Good,Freighter (0 seats),3 ADs,1,49.9,"2,834 kg/hr",76232000.0,65034000.0,64842000.0
777-300ER,BOEING,2012,"36,824 hrs","23,241 cycles",GE90-115B,317 hrs,147 cycles,Fresh D-Check,Hourly Inspection,Owned,Middle East,No,No,None,Excellent,396 seats,1 ADs,20,73.4,"3,701 kg/hr",83771000.0,67387000.0,67236000.0
A330-300,AIRBUS,2009,"44,389 hrs","23,743 cycles",CF6-80E1,"1,671 hrs",716 cycles,Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,No,None,Excellent,277 seats,0 ADs,41,31.7,"1,774 kg/hr",42859000.0,38082000.0,35141000.0
737-800,boeing,2008,"48,721 hrs","26,780 cycles",CFM56-7B,314 hrs,180 cycles,Fresh C-Check,MSG-3,On Lease,Europe,Yes,No,Minor,Excellent,189 seats,0 ADs,53,54.0,"1,163 kg/hr",16234000.0,17196000.0,16514000.0
747-8F,BOEING,2008,"57,875 hrs","44,204 cycles",GEnx-2B,"3,421 hrs","1,672 cycles",C-Check Due,OEM Managed,Owned,Latin America,No,No,None,Good,Freighter (0 seats),0 ADs,17,76.4,"3,388 kg/hr",53227000.0,46529000.0,51290000.0
747-8F,Boeing,2010,"50,212 hrs","35,304 cycles",GEnx-2B,"1,985 hrs","1,342 cycles",Fresh D-Check,MSG-3,On Lease,Middle East,Yes,No,None,Excellent,Freighter (0 seats),0 ADs,37,66.1,"4,078 kg/hr",62800000.0,70235000.0,70064000.0
CRJ900,Bombardier,2004,"31,820 hrs","12,994 cycles",CF34-8C5,"5,602 hrs","4,103 cycles",Fresh D-Check,Hourly Inspection,Owned,Europe,No,No,None,Good,76 seats,0 ADs,18,35.4,"1,139 kg/hr",9954000.0,8864000.0,8780000.0
747-8F,Boeing,2011,"53,038 hrs","24,790 cycles",GEnx-2B,"7,553 hrs","4,727 cycles",C-Check Due,MSG-3,Off Lease,North America,Yes,No,None,Excellent,Freighter (0 seats),2 ADs,12,29.4,"2,624 kg/hr",50353000.0,48820000.0,49643000.0
CRJ900,Bombardier,2014,"29,457 hrs","17,139 cycles",CF34-8C5,"6,944 hrs","4,601 cycles",D-Check Due,MSG-3,On Lease,Middle East,No,No,None,Good,76 seats,0 ADs,36,28.5,"3,780 kg/hr",12091000.0,11759000.0,11760000.0
737-800,BOEING,2022,"3,523 hrs","1,431 cycles",CFM56-7B,"2,931 hrs","1,431 cycles",D-Check Due,OEM Managed,Off Lease,Africa,No,No,Minor,Good,189 seats,0 ADs,49,60.4,"2,519 kg/hr",32578000.0,33145000.0,33298000.0
737 MAX 8,BOEING,2007,"51,171 hrs","22,261 cycles",LEAP-1B,637 hrs,331 cycles,D-Check Due,MSG-3,On Lease,Europe,Yes,Yes,None,Fair,178 seats,0 ADs,20,76.0,"1,654 kg/hr",17901000.0,15509000.0,15127000.0
A330-300,airbus,2009,"40,919 hrs","21,217 cycles",CF6-80E1,"7,972 hrs","3,379 cycles",Fresh D-Check,Hourly Inspection,Owned,Asia-Pacific,No,Yes,None,Good,277 seats,1 ADs,18,51.2,"3,051 kg/hr",43115000.0,42366000.0,41885000.0
ATR 72-600,ATR,2017,"25,099 hrs","12,605 cycles",PW127M,"6,991 hrs","2,975 cycles",Fresh D-Check,Hourly Inspection,On Lease,North America,Yes,No,None,Good,70 seats,0 ADs,7,89.8,"3,665 kg/hr",20390000.0,17748000.0,19327000.0
737-800,boeing,2010,"35,884 hrs","18,585 cycles",CFM56-7B,"7,755 hrs","5,833 cycles",D-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Fair,189 seats,2 ADs,19,50.8,"4,277 kg/hr",17214000.0,15199000.0,16118000.0
A320neo,AIRBUS,2008,"63,826 hrs","30,393 cycles",LEAP-1A,"2,599 hrs","1,807 cycles",Fresh C-Check,OEM Managed,Off Lease,North America,Yes,No,None,Fair,180 seats,Not Reported,53,62.3,"2,361 kg/hr",21425000.0,15971000.0,15435000.0
E175,embraer,2020,"12,640 hrs","6,148 cycles",CF34-8E,"4,271 hrs","2,455 cycles",D-Check Due,OEM Managed,Owned,Africa,Yes,No,None,Fair,76 seats,Not Reported,59,42.9,"2,021 kg/hr",24231000.0,18950000.0,20915000.0
787-9,boeing,2006,"44,049 hrs","22,987 cycles",Trent 1000,"8,167 hrs","3,563 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,Yes,None,Excellent,296 seats,0 ADs,41,56.8,"3,397 kg/hr",46713000.0,48426000.0,46275000.0
737-800,BOEING,1998,"75,689 hrs","37,838 cycles",CFM56-7B,"2,357 hrs","1,702 cycles",C-Check Due,OEM Managed,Owned,Africa,No,No,None,Good,189 seats,1 ADs,53,34.2,"3,129 kg/hr",7501000.0,7997000.0,7619000.0
A350-900,AIRBUS,2016,"26,502 hrs","19,834 cycles",Trent XWB,"3,084 hrs","1,665 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,No,None,Good,325 seats,0 ADs,41,42.2,"3,844 kg/hr",94478000.0,89260000.0,88029000.0
777-300ER,boeing,2014,"28,457 hrs","18,279 cycles",GE90-115B,"3,303 hrs","1,429 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,No,No,None,Good,396 seats,0 ADs,39,46.2,"3,616 kg/hr",80976000.0,64581000.0,65365000.0
A330-300,airbus,2011,"38,629 hrs","21,153 cycles",PW4000,"7,328 hrs","3,092 cycles",D-Check Due,OEM Managed,Off Lease,Africa,Yes,No,None,Good,277 seats,0 ADs,12,49.3,"1,759 kg/hr",39771000.0,33762000.0,34018000.0
777-300ER,BOEING,2019,"18,419 hrs","9,177 cycles",GE90-115B,"6,786 hrs","5,051 cycles",Fresh C-Check,Hourly Inspection,On Lease,Middle East,Yes,No,None,Good,396 seats,Not Reported,39,40.6,"4,330 kg/hr",92106000.0,92177000.0,90779000.0
737 MAX 8,Boeing,2012,"33,160 hrs","23,711 cycles",LEAP-1B,"8,837 hrs","4,021 cycles",Fresh C-Check,MSG-3,Owned,Middle East,No,No,None,Excellent,178 seats,0 ADs,15,70.9,"2,544 kg/hr",20385000.0,25639000.0,27379000.0
777-300ER,Boeing,2012,"24,933 hrs","14,003 cycles",GE90-115B,"6,286 hrs","3,571 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,Yes,No,Major,Fair,396 seats,1 ADs,20,36.3,"2,629 kg/hr",50957000.0,46086000.0,47036000.0
777-300ER,BOEING,2020,"17,843 hrs","11,328 cycles",GE90-115B,"4,439 hrs","2,108 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,No,Yes,Minor,Fair,396 seats,0 ADs,33,79.0,"2,275 kg/hr",131075000.0,105515000.0,94252000.0
737 MAX 8,BOEING,2010,"29,619 hrs","13,064 cycles",LEAP-1B,"4,232 hrs","2,021 cycles",C-Check Due,MSG-3,On Lease,Europe,Yes,Yes,None,Fair,178 seats,0 ADs,59,40.6,"1,974 kg/hr",23412000.0,22063000.0,22057000.0
737-800,Boeing,2010,"42,637 hrs","22,073 cycles",CFM56-7B,"3,448 hrs","2,243 cycles",Fresh C-Check,OEM Managed,Owned,Asia-Pacific,No,No,None,Good,189 seats,1 ADs,20,51.4,"2,812 kg/hr",19475000.0,17603000.0,16407000.0
A320neo,AIRBUS,2014,"39,814 hrs","20,383 cycles",LEAP-1A,"8,819 hrs","5,385 cycles",D-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Good,180 seats,4 ADs,21,41.7,"3,330 kg/hr",21873000.0,20499000.0,20500000.0
ATR 72-600,ATR,2005,"74,463 hrs","40,843 cycles",PW127M,"7,605 hrs","4,797 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,None,Poor,70 seats,4 ADs,38,22.1,"3,013 kg/hr",5357000.0,4999000.0,4970000.0
A330-300,Airbus,2006,"49,147 hrs","29,625 cycles",CF6-80E1,"3,812 hrs","2,651 cycles",C-Check Due,MSG-3,Off Lease,Europe,Yes,No,None,Poor,277 seats,Not Reported,23,60.8,"1,862 kg/hr",29741000.0,26777000.0,25527000.0
ATR 72-600,ATR,2021,"9,736 hrs","8,994 cycles",PW127M,"4,804 hrs","2,632 cycles",D-Check Due,Hourly Inspection,Off Lease,Europe,No,Yes,None,Excellent,70 seats,2 ADs,44,61.1,"3,261 kg/hr",16190000.0,17901000.0,18267000.0
CRJ900,Bombardier,2005,"61,374 hrs","24,638 cycles",CF34-8C5,"3,444 hrs","1,951 cycles",D-Check Due,Hourly Inspection,On Lease,Europe,No,Yes,Minor,Fair,76 seats,Not Reported,30,72.3,"1,838 kg/hr",5340000.0,6114000.0,5542000.0
737 MAX 8,boeing,1999,"73,193 hrs","39,618 cycles",LEAP-1B,"8,279 hrs","4,129 cycles",C-Check Due,MSG-3,On Lease,Latin America,No,Yes,None,Excellent,178 seats,0 ADs,3,93.4,"4,771 kg/hr",12997000.0,10606000.0,10651000.0
747-8F,BOEING,1998,"79,958 hrs","50,907 cycles",GEnx-2B,"5,638 hrs","2,751 cycles",Fresh C-Check,OEM Managed,On Lease,Middle East,No,Yes,None,Fair,Freighter (0 seats),0 ADs,48,48.0,"1,365 kg/hr",26025000.0,29093000.0,26031000.0
ATR 72-600,ATR,1999,"66,587 hrs","45,002 cycles",PW127M,"7,301 hrs","5,246 cycles",Fresh D-Check,MSG-3,Owned,Europe,No,No,None,Good,70 seats,0 ADs,36,52.5,"3,184 kg/hr",5655000.0,4739000.0,5019000.0
A320neo,Airbus,2003,"62,497 hrs","48,656 cycles",PW1100G,339 hrs,223 cycles,Fresh C-Check,MSG-3,On Lease,North America,Yes,No,None,Fair,180 seats,2 ADs,5,61.4,"4,622 kg/hr",18242000.0,13105000.0,13097000.0
737 MAX 8,BOEING,2002,"59,714 hrs","41,772 cycles",LEAP-1B,"1,253 hrs",571 cycles,C-Check Due,OEM Managed,On Lease,Latin America,Yes,Yes,None,Fair,178 seats,2 ADs,39,35.6,"2,806 kg/hr",11838000.0,10980000.0,10991000.0
CRJ900,Bombardier,2017,"13,618 hrs","11,564 cycles",CF34-8C5,"2,279 hrs","1,627 cycles",D-Check Due,Hourly Inspection,On Lease,Latin America,No,Yes,None,Excellent,76 seats,3 ADs,21,48.3,"3,294 kg/hr",15660000.0,15938000.0,15306000.0
A320neo,AIRBUS,2005,"53,880 hrs","25,129 cycles",LEAP-1A,"7,680 hrs","3,342 cycles",D-Check Due,MSG-3,Off Lease,Middle East,No,No,Minor,Excellent,180 seats,0 ADs,38,73.9,"1,378 kg/hr",12780000.0,12338000.0,12321000.0
737-800,Boeing,2019,"16,041 hrs","11,865 cycles",CFM56-7B,"6,676 hrs","2,815 cycles",D-Check Due,MSG-3,On Lease,Middle East,Yes,No,None,Excellent,189 seats,2 ADs,23,69.5,"1,605 kg/hr",30657000.0,29140000.0,29080000.0
A350-900,Airbus,2000,"58,226 hrs","31,557 cycles",Trent XWB,"4,730 hrs","3,543 cycles",C-Check Due,Hourly Inspection,Off Lease,Europe,Yes,No,None,Poor,325 seats,0 ADs,41,63.7,"2,794 kg/hr",30396000.0,27901000.0,27533000.0
CRJ900,bombardier,2012,"48,649 hrs","20,126 cycles",CF34-8C5,"1,395 hrs","1,015 cycles",Fresh D-Check,MSG-3,Owned,North America,No,No,Minor,Excellent,76 seats,2 ADs,59,23.1,"1,518 kg/hr",10634000.0,10063000.0,10233000.0
A330-300,Airbus,2001,"67,999 hrs","50,130 cycles",PW4000,297 hrs,133 cycles,Fresh C-Check,MSG-3,On Lease,Middle East,Yes,No,Minor,Good,277 seats,1 ADs,6,51.8,"1,769 kg/hr",21527000.0,21161000.0,20710000.0
CRJ900,bombardier,2011,"55,955 hrs","43,074 cycles",CF34-8C5,"4,997 hrs","2,498 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,Yes,None,Fair,76 seats,0 ADs,54,44.4,"3,122 kg/hr",10763000.0,10009000.0,9954000.0
A320-200,airbus,2019,"19,943 hrs","10,625 cycles",V2500,"3,740 hrs","2,545 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Europe,No,Yes,None,Good,180 seats,3 ADs,12,53.7,"1,871 kg/hr",35368000.0,34397000.0,34702000.0
ATR 72-600,atr,2019,"15,811 hrs","13,806 cycles",PW127M,"1,722 hrs",928 cycles,D-Check Due,Hourly Inspection,Owned,Africa,No,No,Major,Excellent,70 seats,1 ADs,27,56.7,"1,245 kg/hr",12042000.0,12078000.0,11377000.0
777-300ER,boeing,2011,"35,765 hrs","16,323 cycles",GE90-115B,"8,427 hrs","5,521 cycles",C-Check Due,MSG-3,On Lease,Europe,No,No,None,Good,396 seats,3 ADs,16,72.9,"1,958 kg/hr",52193000.0,54652000.0,52952000.0
737 MAX 8,BOEING,2007,"55,834 hrs","42,810 cycles",LEAP-1B,"2,756 hrs","1,445 cycles",C-Check Due,OEM Managed,On Lease,Africa,No,Yes,None,Good,178 seats,2 ADs,25,27.8,"2,392 kg/hr",17940000.0,13730000.0,14018000.0
A330-300,Airbus,2021,"7,791 hrs","5,444 cycles",Trent 700,"1,140 hrs",827 cycles,C-Check Due,Hourly Inspection,On Lease,Latin America,No,No,None,Good,277 seats,1 ADs,20,76.6,"4,898 kg/hr",94109000.0,96762000.0,96254000.0
737-800,BOEING,2022,"9,005 hrs","5,042 cycles",CFM56-7B,"5,320 hrs","2,391 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,189 seats,2 ADs,56,49.4,"2,764 kg/hr",32214000.0,36459000.0,35816000.0
A350-900,airbus,2003,"51,033 hrs","25,744 cycles",Trent XWB,"7,886 hrs","4,933 cycles",C-Check Due,OEM Managed,Off Lease,North America,No,No,None,Good,325 seats,1 ADs,25,52.5,900 kg/hr,41879000.0,31503000.0,33284000.0
A350-900,airbus,2003,"62,134 hrs","33,904 cycles",Trent XWB,"3,742 hrs","2,063 cycles",Fresh C-Check,MSG-3,Off Lease,North America,Yes,No,None,Good,325 seats,1 ADs,8,78.6,"2,654 kg/hr",38860000.0,34513000.0,38083000.0
A330-300,AIRBUS,2017,"23,684 hrs","9,867 cycles",Trent 700,453 hrs,199 cycles,D-Check Due,Hourly Inspection,On Lease,Asia-Pacific,No,No,None,Good,277 seats,2 ADs,33,58.6,"2,681 kg/hr",73515000.0,56157000.0,56445000.0
737 MAX 8,boeing,2007,"39,351 hrs","27,842 cycles",LEAP-1B,"4,722 hrs","2,070 cycles",D-Check Due,OEM Managed,Off Lease,Middle East,No,No,Major,Fair,178 seats,1 ADs,33,46.0,"2,410 kg/hr",12218000.0,10851000.0,11002000.0
747-8F,Boeing,2018,"12,307 hrs","9,816 cycles",GEnx-2B,"1,659 hrs",871 cycles,C-Check Due,OEM Managed,On Lease,Africa,Yes,No,None,Excellent,Freighter (0 seats),0 ADs,27,57.8,"3,192 kg/hr",129225000.0,115781000.0,119586000.0
ATR 72-600,ATR,2006,"49,880 hrs","29,253 cycles",PW127M,"6,398 hrs","3,944 cycles",D-Check Due,MSG-3,Owned,North America,Yes,No,None,Good,70 seats,1 ADs,58,36.3,"2,152 kg/hr",5322000.0,5549000.0,5446000.0
737-800,Boeing,1999,"70,530 hrs","45,871 cycles",CFM56-7B,"3,470 hrs","1,737 cycles",Fresh C-Check,Hourly Inspection,On Lease,Latin America,Yes,Yes,Major,Good,189 seats,2 ADs,16,65.6,"2,639 kg/hr",7850000.0,7153000.0,6555000.0
A350-900,Airbus,2007,"41,033 hrs","18,246 cycles",Trent XWB,"6,720 hrs","4,106 cycles",C-Check Due,OEM Managed,Owned,Asia-Pacific,No,Yes,Major,Good,325 seats,0 ADs,49,45.3,"2,756 kg/hr",38513000.0,36312000.0,37198000.0
A330-300,AIRBUS,2009,"51,602 hrs","30,449 cycles",PW4000,"1,509 hrs",927 cycles,Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,No,Minor,Fair,277 seats,1 ADs,15,80.6,"2,277 kg/hr",39110000.0,35158000.0,35487000.0
747-8F,boeing,2003,"63,624 hrs","46,042 cycles",GEnx-2B,"2,525 hrs","1,870 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,Yes,Minor,Excellent,Freighter (0 seats),1 ADs,59,49.8,"3,210 kg/hr",36796000.0,35252000.0,32685000.0
787-9,BOEING,2001,"54,891 hrs","24,173 cycles",GEnx-1B,"4,371 hrs","3,193 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,No,No,None,Fair,296 seats,0 ADs,8,63.9,"3,423 kg/hr",36095000.0,30759000.0,30693000.0
A350-900,AIRBUS,2007,"58,947 hrs","37,794 cycles",Trent XWB,885 hrs,387 cycles,Fresh C-Check,MSG-3,Owned,Europe,No,Yes,None,Good,325 seats,0 ADs,31,76.5,"1,930 kg/hr",38515000.0,43835000.0,46152000.0
A350-900,Airbus,2016,"19,466 hrs","13,340 cycles",Trent XWB,"1,046 hrs",639 cycles,D-Check Due,Hourly Inspection,Owned,Middle East,Yes,No,Minor,Good,325 seats,0 ADs,9,74.1,900 kg/hr,81910000.0,75692000.0,78392000.0
A320neo,AIRBUS,2002,"58,517 hrs","33,994 cycles",PW1100G,"6,834 hrs","3,861 cycles",Fresh D-Check,MSG-3,Owned,Latin America,Yes,Yes,None,Good,180 seats,3 ADs,44,46.6,"1,487 kg/hr",11809000.0,12351000.0,13583000.0
777-300ER,boeing,2006,"56,005 hrs","33,348 cycles",GE90-115B,727 hrs,506 cycles,D-Check Due,OEM Managed,On Lease,Middle East,No,No,None,Good,396 seats,0 ADs,17,73.7,"2,839 kg/hr",39575000.0,32949000.0,35026000.0
CRJ900,bombardier,2012,"41,490 hrs","24,903 cycles",CF34-8C5,"4,776 hrs","2,952 cycles",C-Check Due,MSG-3,On Lease,North America,No,Yes,None,Excellent,76 seats,3 ADs,46,57.1,"3,083 kg/hr",15298000.0,11906000.0,11040000.0
737 MAX 8,BOEING,2000,"57,285 hrs","28,769 cycles",LEAP-1B,"2,023 hrs","1,194 cycles",Fresh C-Check,MSG-3,Off Lease,Asia-Pacific,No,Yes,None,Good,178 seats,0 ADs,8,59.7,"1,849 kg/hr",10660000.0,11269000.0,11700000.0
E175,Embraer,2011,"34,665 hrs","18,306 cycles",CF34-8E,"3,267 hrs","1,952 cycles",Fresh C-Check,Hourly Inspection,On Lease,North America,Yes,No,None,Good,76 seats,1 ADs,38,56.1,"2,260 kg/hr",16339000.0,13548000.0,15781000.0
777-300ER,boeing,2017,"27,459 hrs","14,927 cycles",GE90-115B,"1,010 hrs",633 cycles,Fresh C-Check,OEM Managed,Owned,Africa,Yes,Yes,Major,Fair,396 seats,2 ADs,40,42.9,"1,935 kg/hr",60546000.0,59393000.0,64415000.0
A320-200,AIRBUS,2022,"9,715 hrs","5,117 cycles",V2500,"4,482 hrs","2,418 cycles",Fresh C-Check,OEM Managed,On Lease,Middle East,No,No,None,Excellent,180 seats,2 ADs,14,63.9,"2,484 kg/hr",54431000.0,44156000.0,45297000.0
A320neo,airbus,2005,"54,391 hrs","27,815 cycles",LEAP-1A,"8,731 hrs","4,037 cycles",D-Check Due,MSG-3,On Lease,Africa,Yes,No,None,Fair,180 seats,2 ADs,50,69.1,"2,130 kg/hr",13424000.0,12931000.0,12693000.0
A330-300,AIRBUS,2006,"61,793 hrs","38,675 cycles",Trent 700,747 hrs,399 cycles,D-Check Due,MSG-3,On Lease,North America,Yes,Yes,None,Good,277 seats,0 ADs,0,64.1,"2,151 kg/hr",22053000.0,23913000.0,24138000.0
A350-900,Airbus,2017,"23,186 hrs","15,378 cycles",Trent XWB,"7,770 hrs","3,270 cycles",C-Check Due,MSG-3,On Lease,Asia-Pacific,No,No,None,Poor,325 seats,2 ADs,14,72.8,"1,362 kg/hr",97260000.0,80683000.0,72785000.0
A350-900,airbus,1998,"68,815 hrs","37,530 cycles",Trent XWB,"6,853 hrs","4,968 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,No,Major,Excellent,325 seats,1 ADs,22,27.3,"1,793 kg/hr",22405000.0,17710000.0,19756000.0
E175,embraer,2011,"33,548 hrs","21,568 cycles",CF34-8E,751 hrs,404 cycles,D-Check Due,MSG-3,Owned,Asia-Pacific,Yes,Yes,Minor,Good,76 seats,0 ADs,36,61.4,"2,764 kg/hr",10540000.0,11247000.0,10584000.0
737-800,BOEING,1998,"94,690 hrs","47,472 cycles",CFM56-7B,"3,203 hrs","1,713 cycles",C-Check Due,MSG-3,Owned,Africa,No,No,None,Good,189 seats,1 ADs,27,37.7,"1,720 kg/hr",8642000.0,7534000.0,8133000.0
A320-200,AIRBUS,1998,"75,990 hrs","51,569 cycles",V2500,367 hrs,180 cycles,C-Check Due,OEM Managed,On Lease,Asia-Pacific,Yes,Yes,None,Good,180 seats,1 ADs,32,23.4,900 kg/hr,8749000.0,7771000.0,8109000.0
ATR 72-600,atr,2013,"22,709 hrs","13,522 cycles",PW127M,"3,213 hrs","1,866 cycles",Fresh C-Check,MSG-3,Off Lease,Middle East,No,Yes,Minor,Excellent,70 seats,0 ADs,31,63.0,"1,293 kg/hr",11027000.0,12773000.0,13144000.0
E175,embraer,1999,"66,124 hrs","49,381 cycles",CF34-8E,826 hrs,452 cycles,Fresh C-Check,MSG-3,Owned,North America,Yes,No,None,Good,76 seats,1 ADs,50,91.9,"2,673 kg/hr",7103000.0,6028000.0,6411000.0
787-9,boeing,2016,"16,367 hrs","9,076 cycles",Trent 1000,"8,318 hrs","3,503 cycles",Fresh C-Check,OEM Managed,On Lease,Europe,Yes,No,None,Good,296 seats,2 ADs,52,53.3,"3,677 kg/hr",103616000.0,89670000.0,87046000.0
ATR 72-600,atr,2009,"28,910 hrs","13,342 cycles",PW127M,884 hrs,394 cycles,D-Check Due,Hourly Inspection,On Lease,North America,Yes,Yes,None,Good,70 seats,2 ADs,31,76.2,"1,233 kg/hr",9025000.0,10076000.0,9674000.0
A350-900,airbus,2019,"22,644 hrs","14,212 cycles",Trent XWB,"3,370 hrs","1,584 cycles",Fresh C-Check,Hourly Inspection,On Lease,Latin America,Yes,Yes,None,Good,325 seats,0 ADs,33,56.6,"1,311 kg/hr",106520000.0,104756000.0,115767000.0
A320neo,airbus,2000,"73,134 hrs","49,477 cycles",LEAP-1A,"8,927 hrs","3,724 cycles",Fresh C-Check,Hourly Inspection,Owned,North America,No,No,Minor,Good,180 seats,1 ADs,49,55.3,"1,100 kg/hr",11594000.0,10723000.0,10650000.0
ATR 72-600,atr,2001,"76,250 hrs","36,917 cycles",PW127M,"8,103 hrs","3,798 cycles",C-Check Due,OEM Managed,On Lease,Latin America,No,Yes,None,Poor,70 seats,1 ADs,34,86.4,"2,556 kg/hr",4757000.0,4603000.0,5087000.0
ATR 72-600,ATR,2009,"34,362 hrs","16,649 cycles",PW127M,"8,303 hrs","6,104 cycles",Fresh D-Check,MSG-3,Owned,Africa,Yes,No,None,Good,70 seats,3 ADs,51,70.4,"2,297 kg/hr",9473000.0,10889000.0,9865000.0
A350-900,AIRBUS,2019,"19,168 hrs","10,148 cycles",Trent XWB,"2,968 hrs","2,172 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Good,325 seats,1 ADs,5,57.8,"2,541 kg/hr",120785000.0,102876000.0,112961000.0
A320-200,Airbus,2018,"21,470 hrs","10,687 cycles",V2500,"8,559 hrs","4,048 cycles",Fresh C-Check,OEM Managed,On Lease,Africa,Yes,Yes,Major,Good,180 seats,1 ADs,3,40.4,"3,141 kg/hr",26539000.0,26011000.0,26082000.0
777-300ER,Boeing,1999,"58,328 hrs","30,771 cycles",GE90-115B,"3,525 hrs","2,444 cycles",C-Check Due,MSG-3,Off Lease,Middle East,No,No,None,Excellent,396 seats,Not Reported,26,79.5,"2,464 kg/hr",21488000.0,25739000.0,24462000.0
A320-200,airbus,2003,"66,916 hrs","33,136 cycles",V2500,"8,974 hrs","3,993 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,Yes,None,Good,180 seats,2 ADs,40,60.1,"2,587 kg/hr",9413000.0,10189000.0,10311000.0
737-800,boeing,2002,"54,789 hrs","28,743 cycles",CFM56-7B,"7,752 hrs","3,289 cycles",Fresh C-Check,Hourly Inspection,On Lease,Europe,Yes,No,None,Good,189 seats,1 ADs,17,5.9,"2,301 kg/hr",8064000.0,9288000.0,10236000.0
ATR 72-600,atr,2012,"30,375 hrs","12,952 cycles",PW127M,"3,835 hrs","1,830 cycles",Fresh C-Check,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Excellent,70 seats,0 ADs,41,65.3,"1,261 kg/hr",9800000.0,13085000.0,12860000.0
777-300ER,Boeing,2001,"76,948 hrs","49,410 cycles",GE90-115B,"1,032 hrs",531 cycles,D-Check Due,MSG-3,On Lease,Latin America,Yes,Yes,None,Good,396 seats,2 ADs,42,43.3,900 kg/hr,19010000.0,21364000.0,22511000.0
