campus,delivery,subject,cohort,study_hours,course_type,prior_gpa,prep_hours,standing,term_weeks,attendance,complexity,enroll_timing,digital_hw,tutoring,exam_score,effort_stars,Number of Assignments,Number of OfficeHours,study_partners,credits,sleep_hours,state_resident,section_size
River Campus,Online,Literature,2022 CY,5.2 hours,Required,2.78 GPA,1.1 hours,Sophomore,10-week,76.9%,Lab-heavy,On time,Yes,No,50.23,1 star,16,1,0 partners,15 cr,7.2 hours,Yes,Small
Harbor Campus,Online,Algebra,2021 CY,13.1 hours,Required,3.52 GPA,2.0 hours,Freshman,10-week,78.8%,Lecture,2-year retake,No,No,89.05,4 stars,12,3,3 partners,12 cr,6.4 hours,Yes,Medium
River Campus,In-person,Physics,2022 CY,7.5 hours,Required,3.06 GPA,3.0 hours,Freshman,16-week,90.1%,Lab-heavy,On time,Yes,No,65.73,2 stars,18,2,1 partner,16 cr,4.7 hours,Yes,Medium
Prairie Campus,In-person,Algebra,2021 CY,10.2 hours,Required,2.96 GPA,2.8 hours,Freshman,16-week,85.5%,Lecture,On time,No,No,72.23,3 stars,9,5,0 partners,13 cr,8.6 hours,Yes,Large
Harbor Campus,In-person,Physics,2019 CY,12.6 hours,Elective,2.25 GPA,5.1 hours,Junior,12-week,70.8%,Lab-heavy,On time,Yes,Yes,68.28,2 stars,10,4,1 partner,9 cr,5.6 hours,Yes,Small
River Campus,Online,Civics,Not Available,10.6 hours,Required,2.98 GPA,2.3 hours,Junior,10-week,80.2%,Lecture,On time,Yes,No,75.03,3 stars,9,4,0 partners,15 cr,8.3 hours,Yes,Medium
River Campus,Hybrid,Chemistry,2020 CY,2.1 hours,Required,3.47 GPA,0.8 hours,Graduate,16-week,93.0%,Lecture,On time,Yes,No,69.02,2 stars,10,4,0 partners,16 cr,7.4 hours,Yes,Small
Capitol Campus,In-person,Chemistry,2020 CY,11.3 hours,Required,3.94 GPA,4.1 hours,Senior,12-week,80.9%,Lecture,2-year retake,Yes,No,71.01,3 stars,11,6,2 partners,13 cr,5.7 hours,Yes,Large
Hill Campus,Online,History,2020 CY,8.8 hours,Required,3.41 GPA,3.8 hours,Junior,16-week,82.7%,Studio,On time,No,No,79.43,3 stars,13,4,0 partners,15 cr,7.1 hours,Yes,Large
Grove Campus,In-person,Stats,Not Available,7.4 hours,Elective,3.54 GPA,2.2 hours,Freshman,16-week,79.7%,Lecture,On time,No,No,83.28,4 stars,12,4,3 partners,15 cr,9.1 hours,Yes,Large
Capitol Campus,In-person,Physics,2022 CY,8.8 hours,Required,2.61 GPA,3.9 hours,Junior,16-week,82.9%,Lab-heavy,On time,No,No,62.66,2 stars,16,7,0 partners,13 cr,8.5 hours,Yes,Large
Harbor Campus,In-person,History,2022 CY,5.3 hours,Required,2.97 GPA,2.8 hours,Freshman,16-week,100.0%,Lecture,On time,Yes,Yes,72.37,3 stars,11,2,1 partner,13 cr,6.2 hours,Yes,Medium
Capitol Campus,In-person,Biology,Not Available,10.5 hours,Elective,3.70 GPA,4.7 hours,Sophomore,16-week,77.6%,Lecture,On time,No,Yes,65.86,2 stars,14,8,3 partners,15 cr,6.0 hours,Yes,Medium
River Campus,Online,Biology,2020 CY,4.1 hours,Elective,2.75 GPA,1.4 hours,Sophomore,16-week,93.2%,Lecture,On time,No,No,52.0,1 star,9,1,1 partner,13 cr,6.9 hours,No,Medium
Grove Campus,Hybrid,Chemistry,Not Available,7.6 hours,Elective,3.58 GPA,2.3 hours,Sophomore,16-week,86.5%,Studio,On time,Yes,No,76.22,3 stars,9,2,2 partners,12 cr,6.6 hours,Yes,Large
Prairie Campus,In-person,Stats,2021 CY,9.6 hours,Required,3.48 GPA,3.1 hours,Sophomore,16-week,85.4%,Lab-heavy,Late enroll,Yes,No,85.98,4 stars,15,0,3 partners,13 cr,8.1 hours,Yes,Medium
Delta Campus,Online,Physics,2023 CY,13.9 hours,Required,3.27 GPA,4.2 hours,Junior,16-week,72.7%,Lecture,3-year retake,No,Yes,78.46,3 stars,13,5,1 partner,16 cr,7.6 hours,Yes,Medium
River Campus,Online,Biology,2022 CY,7.9 hours,Required,3.00 GPA,3.2 hours,Senior,16-week,76.5%,Lab-heavy,3-year retake,Yes,Yes,66.02,2 stars,13,8,2 partners,12 cr,4.9 hours,Yes,Large
Prairie Campus,Hybrid,Civics,2022 CY,15.1 hours,Required,2.71 GPA,6.6 hours,Senior,16-week,79.9%,Lecture,Late enroll,Yes,Yes,91.67,4 stars,13,5,0 partners,12 cr,7.3 hours,Yes,Large
Prairie Campus,Online,History,Not Available,12.1 hours,Required,3.95 GPA,2.0 hours,Junior,16-week,80.8%,Lecture,On time,No,No,86.48,4 stars,12,5,1 partner,12 cr,6.6 hours,Yes,Large
Grove Campus,In-person,Civics,2020 CY,7.1 hours,Elective,3.43 GPA,2.6 hours,Junior,12-week,86.3%,Lecture,Late enroll,Yes,No,70.65,3 stars,7,3,0 partners,9 cr,6.8 hours,No,Small
Capitol Campus,Online,Biology,Not Available,5.6 hours,Required,3.18 GPA,1.4 hours,Freshman,16-week,90.6%,Lecture,On time,Yes,No,79.4,3 stars,14,6,2 partners,18 cr,7.1 hours,Yes,Small
Prairie Campus,In-person,Literature,2021 CY,4.5 hours,Required,2.96 GPA,1.0 hours,Senior,10-week,100.0%,Lecture,On time,Yes,No,62.75,2 stars,11,7,1 partner,15 cr,8.1 hours,Yes,Medium
Hill Campus,Hybrid,Stats,2023 CY,10.0 hours,Required,3.17 GPA,3.6 hours,Junior,16-week,88.8%,Lab-heavy,On time,No,No,66.85,2 stars,14,5,1 partner,15 cr,7.9 hours,Yes,Medium
Harbor Campus,In-person,Biology,Not Available,6.7 hours,Required,3.22 GPA,1.4 hours,Sophomore,16-week,69.9%,Lecture,On time,No,No,62.98,2 stars,14,2,3 partners,16 cr,6.0 hours,Yes,Medium
Prairie Campus,Online,Physics,2019 CY,14.3 hours,Required,3.33 GPA,7.5 hours,Sophomore,10-week,91.6%,Studio,3-year retake,No,Yes,75.99,3 stars,12,6,0 partners,13 cr,6.7 hours,No,Medium
Prairie Campus,In-person,Stats,Not Available,6.3 hours,Elective,3.63 GPA,2.8 hours,Graduate,16-week,81.0%,Lab-heavy,2-year retake,Yes,No,70.77,3 stars,13,0,3 partners,16 cr,6.3 hours,Yes,Large
River Campus,In-person,Algebra,2022 CY,6.2 hours,Required,2.80 GPA,1.8 hours,Junior,12-week,100.0%,Lab-heavy,On time,Yes,No,68.64,2 stars,17,7,0 partners,18 cr,4.9 hours,Yes,Small
Delta Campus,Hybrid,Algebra,2023 CY,11.2 hours,Required,2.49 GPA,4.2 hours,Sophomore,16-week,100.0%,Lab-heavy,On time,Yes,Yes,74.75,3 stars,15,7,0 partners,15 cr,6.7 hours,Yes,Medium
Grove Campus,Online,Physics,2020 CY,8.3 hours,Required,3.19 GPA,2.6 hours,Junior,16-week,80.9%,Studio,On time,Yes,Yes,70.81,3 stars,12,6,1 partner,15 cr,8.8 hours,Yes,Large
River Campus,In-person,History,2022 CY,9.1 hours,Required,2.36 GPA,3.5 hours,Sophomore,16-week,96.2%,Lecture,On time,Yes,No,66.16,2 stars,9,4,0 partners,13 cr,4.9 hours,Yes,Medium
Capitol Campus,Hybrid,Algebra,2023 CY,12.3 hours,Required,3.00 GPA,2.4 hours,Sophomore,16-week,74.1%,Lecture,Late enroll,No,No,57.05,1 star,13,2,1 partner,16 cr,6.8 hours,Yes,Medium
River Campus,Hybrid,Chemistry,2022 CY,8.9 hours,Elective,2.92 GPA,3.8 hours,Sophomore,16-week,80.0%,Lecture,3-year retake,No,No,59.13,2 stars,13,3,2 partners,12 cr,6.7 hours,Yes,Small
North Campus,In-person,Physics,2020 CY,9.5 hours,Required,3.37 GPA,4.2 hours,Sophomore,16-week,95.8%,Studio,On time,Yes,No,76.13,3 stars,9,0,2 partners,15 cr,7.1 hours,Yes,Small
Hill Campus,Online,Biology,2021 CY,9.8 hours,Required,4.00 GPA,1.8 hours,Junior,16-week,97.1%,Lecture,On time,No,No,72.07,3 stars,11,2,0 partners,13 cr,5.7 hours,No,Medium
Capitol Campus,In-person,History,2023 CY,3.1 hours,Elective,2.15 GPA,1.1 hours,Freshman,10-week,98.0%,Lecture,On time,No,No,52.17,1 star,14,4,0 partners,15 cr,5.2 hours,Yes,Medium
North Campus,Online,Civics,2019 CY,10.4 hours,Required,4.00 GPA,3.0 hours,Senior,16-week,86.7%,Lab-heavy,On time,Yes,No,88.36,4 stars,15,2,0 partners,16 cr,5.3 hours,Yes,Small
North Campus,In-person,Chemistry,2023 CY,10.4 hours,Elective,3.05 GPA,4.4 hours,Sophomore,16-week,100.0%,Lecture,On time,Yes,Yes,79.77,3 stars,11,8,1 partner,15 cr,8.3 hours,Yes,Large
River Campus,In-person,Civics,Not Available,12.0 hours,Required,3.31 GPA,2.4 hours,Junior,12-week,85.3%,Studio,On time,Yes,No,69.61,2 stars,7,6,0 partners,9 cr,5.7 hours,Yes,Medium
Grove Campus,Hybrid,Chemistry,2019 CY,12.4 hours,Required,2.51 GPA,5.8 hours,Junior,16-week,69.9%,Lecture,On time,Yes,Yes,64.07,2 stars,10,6,0 partners,15 cr,6.3 hours,Yes,Large
Hill Campus,Hybrid,Stats,2020 CY,9.3 hours,Elective,3.60 GPA,3.1 hours,Junior,16-week,71.9%,Lecture,On time,Yes,Yes,89.58,4 stars,13,2,2 partners,18 cr,9.1 hours,Yes,Medium
River Campus,Hybrid,Literature,2023 CY,12.4 hours,Required,3.17 GPA,5.2 hours,Junior,16-week,100.0%,Lab-heavy,On time,Yes,No,94.09,5 stars,16,2,3 partners,15 cr,6.0 hours,Yes,Large
Capitol Campus,Hybrid,Algebra,2019 CY,8.2 hours,Required,3.27 GPA,2.3 hours,Graduate,10-week,79.2%,Lecture,Late enroll,Yes,No,75.48,3 stars,11,4,2 partners,16 cr,7.2 hours,Yes,Small
Harbor Campus,Online,Civics,2022 CY,11.3 hours,Required,2.28 GPA,5.0 hours,Junior,16-week,87.6%,Lecture,On time,Yes,Yes,64.86,2 stars,11,6,0 partners,16 cr,8.0 hours,Yes,Small
Delta Campus,Online,Chemistry,2023 CY,8.1 hours,Required,3.18 GPA,3.5 hours,Senior,16-week,74.6%,Lecture,2-year retake,No,No,65.45,2 stars,15,1,1 partner,16 cr,7.9 hours,Yes,Large
Delta Campus,Online,Algebra,2022 CY,10.6 hours,Required,3.53 GPA,3.9 hours,Senior,10-week,81.5%,Lecture,On time,No,No,74.22,3 stars,13,3,0 partners,13 cr,5.3 hours,No,Large
Harbor Campus,In-person,Algebra,2021 CY,9.3 hours,Required,2.92 GPA,4.1 hours,Freshman,16-week,81.1%,Lab-heavy,On time,Yes,Yes,71.63,3 stars,12,3,0 partners,13 cr,6.0 hours,Yes,Medium
Grove Campus,In-person,Physics,2023 CY,13.8 hours,Elective,3.68 GPA,3.7 hours,Sophomore,16-week,93.7%,Studio,On time,Yes,No,81.08,3 stars,12,2,1 partner,16 cr,7.1 hours,Yes,Small
Hill Campus,In-person,Algebra,2022 CY,15.6 hours,Required,3.66 GPA,4.5 hours,Sophomore,12-week,88.0%,Lecture,On time,Yes,No,91.32,4 stars,12,1,3 partners,16 cr,8.9 hours,No,Medium
Prairie Campus,Online,Biology,2021 CY,13.3 hours,Required,2.86 GPA,4.6 hours,Sophomore,16-week,90.4%,Lecture,On time,Yes,Yes,73.97,3 stars,9,7,1 partner,12 cr,6.0 hours,Yes,Medium
Hill Campus,In-person,Algebra,2022 CY,15.4 hours,Required,3.87 GPA,7.9 hours,Sophomore,10-week,92.4%,Lecture,On time,Yes,Yes,88.24,4 stars,8,5,0 partners,12 cr,6.3 hours,Yes,Large
Grove Campus,In-person,Chemistry,2023 CY,4.2 hours,Required,3.17 GPA,0.9 hours,Sophomore,16-week,84.7%,Lab-heavy,On time,Yes,No,70.0,2 stars,11,4,1 partner,13 cr,7.3 hours,No,Medium
Hill Campus,Online,History,2023 CY,6.0 hours,Required,3.17 GPA,2.8 hours,Junior,16-week,65.4%,Lab-heavy,3-year retake,Yes,Yes,75.33,3 stars,16,0,3 partners,16 cr,7.5 hours,Yes,Small
River Campus,In-person,Chemistry,2022 CY,9.5 hours,Required,3.07 GPA,4.8 hours,Freshman,16-week,73.5%,Lecture,On time,No,Yes,68.25,2 stars,10,3,0 partners,16 cr,7.5 hours,Yes,Medium
Prairie Campus,In-person,Biology,2021 CY,9.2 hours,Required,3.18 GPA,2.4 hours,Senior,16-week,100.0%,Lecture,On time,Yes,No,77.39,3 stars,12,1,2 partners,15 cr,5.9 hours,No,Medium
Grove Campus,Online,Algebra,2020 CY,8.5 hours,Required,1.97 GPA,3.5 hours,Sophomore,16-week,94.8%,Studio,Late enroll,No,No,58.77,2 stars,8,2,0 partners,12 cr,6.2 hours,Yes,Medium
Grove Campus,Hybrid,Literature,2021 CY,3.8 hours,Required,3.07 GPA,0.8 hours,Senior,12-week,99.4%,Lab-heavy,On time,Yes,No,78.68,3 stars,11,6,0 partners,13 cr,7.0 hours,Yes,Medium
North Campus,In-person,History,2019 CY,12.8 hours,Required,2.42 GPA,2.0 hours,Freshman,16-week,82.3%,Lecture,On time,Yes,No,78.37,3 stars,10,4,2 partners,16 cr,8.2 hours,Yes,Large
Grove Campus,In-person,Literature,Not Available,16.0 hours,Required,3.88 GPA,5.4 hours,Sophomore,12-week,83.1%,Lab-heavy,Late enroll,No,No,92.79,4 stars,13,7,0 partners,13 cr,6.5 hours,Yes,Small
Grove Campus,In-person,Algebra,2021 CY,12.6 hours,Elective,3.74 GPA,3.8 hours,Freshman,16-week,80.8%,Lecture,On time,Yes,No,84.48,4 stars,9,3,2 partners,12 cr,6.8 hours,Yes,Medium
Prairie Campus,Online,Algebra,2023 CY,12.0 hours,Elective,3.53 GPA,5.2 hours,Junior,12-week,72.9%,Lecture,On time,Yes,No,72.23,3 stars,9,6,0 partners,13 cr,5.7 hours,Yes,Medium
Harbor Campus,Hybrid,Biology,2020 CY,9.8 hours,Required,3.04 GPA,2.7 hours,Sophomore,16-week,80.1%,Lab-heavy,On time,No,No,78.63,3 stars,14,1,1 partner,16 cr,8.8 hours,No,Medium
North Campus,In-person,Chemistry,2021 CY,5.8 hours,Elective,2.85 GPA,1.1 hours,Graduate,16-week,100.0%,Lecture,On time,Yes,No,68.39,2 stars,14,6,1 partner,15 cr,7.0 hours,Yes,Large
Capitol Campus,Online,History,2022 CY,8.7 hours,Elective,2.85 GPA,2.2 hours,Sophomore,10-week,88.4%,Lecture,2-year retake,Yes,No,66.0,2 stars,10,4,2 partners,12 cr,8.0 hours,Yes,Medium
Harbor Campus,In-person,Civics,2021 CY,15.8 hours,Required,4.00 GPA,4.2 hours,Junior,12-week,79.3%,Studio,On time,Yes,No,95.6,5 stars,12,0,2 partners,13 cr,6.8 hours,No,Medium
River Campus,In-person,History,2023 CY,7.4 hours,Elective,2.84 GPA,2.4 hours,Sophomore,10-week,85.9%,Lab-heavy,On time,Yes,No,73.47,3 stars,15,5,1 partner,18 cr,6.9 hours,No,Small
North Campus,Hybrid,Chemistry,Not Available,7.6 hours,Required,2.09 GPA,1.8 hours,Junior,10-week,93.5%,Lecture,On time,Yes,No,44.01,1 star,10,3,0 partners,13 cr,5.1 hours,Yes,Medium
Hill Campus,In-person,Literature,2023 CY,12.0 hours,Elective,3.61 GPA,3.8 hours,Sophomore,16-week,83.3%,Lab-heavy,On time,Yes,No,74.11,3 stars,11,0,0 partners,13 cr,4.4 hours,Yes,Small
Grove Campus,In-person,Algebra,2020 CY,12.9 hours,Required,3.83 GPA,5.4 hours,Sophomore,16-week,89.8%,Lab-heavy,On time,No,No,90.82,4 stars,12,6,1 partner,12 cr,8.2 hours,Yes,Small
Hill Campus,In-person,Chemistry,2023 CY,6.4 hours,Required,3.78 GPA,1.8 hours,Freshman,16-week,93.0%,Lecture,On time,No,No,61.69,2 stars,8,4,1 partner,13 cr,6.9 hours,No,Medium
River Campus,Online,History,2020 CY,8.3 hours,Required,3.50 GPA,2.9 hours,Freshman,10-week,83.9%,Studio,2-year retake,Yes,No,61.45,2 stars,10,4,0 partners,16 cr,7.0 hours,Yes,Medium
Delta Campus,Hybrid,History,2023 CY,8.3 hours,Elective,3.57 GPA,3.0 hours,Freshman,16-week,88.5%,Lab-heavy,On time,Yes,Yes,80.88,3 stars,14,4,3 partners,16 cr,5.4 hours,Yes,Large
River Campus,Hybrid,Algebra,2022 CY,10.7 hours,Required,3.32 GPA,5.4 hours,Graduate,16-week,73.5%,Lecture,Late enroll,No,Yes,76.51,3 stars,8,1,0 partners,13 cr,5.8 hours,Yes,Medium
Hill Campus,In-person,Physics,2021 CY,14.0 hours,Required,2.22 GPA,4.4 hours,Sophomore,12-week,83.5%,Lecture,On time,No,Yes,72.1,3 stars,11,2,0 partners,16 cr,8.0 hours,Yes,Large
Capitol Campus,In-person,Stats,2020 CY,6.5 hours,Required,3.04 GPA,2.1 hours,Freshman,12-week,77.7%,Lab-heavy,On time,Yes,No,77.66,3 stars,15,5,2 partners,13 cr,8.7 hours,Yes,Medium
Delta Campus,Online,Algebra,2019 CY,12.6 hours,Required,3.58 GPA,3.0 hours,Graduate,16-week,70.4%,Studio,On time,Yes,No,75.79,3 stars,10,2,1 partner,16 cr,6.1 hours,No,Medium
Hill Campus,In-person,Literature,2021 CY,10.2 hours,Elective,2.97 GPA,2.9 hours,Freshman,10-week,81.9%,Lecture,Late enroll,No,Yes,72.11,3 stars,9,9,1 partner,9 cr,7.5 hours,No,Large
Harbor Campus,Hybrid,Physics,2023 CY,15.9 hours,Elective,3.07 GPA,3.9 hours,Sophomore,16-week,94.2%,Lecture,On time,No,No,70.64,3 stars,10,2,0 partners,13 cr,7.0 hours,Yes,Medium
North Campus,Online,Biology,2023 CY,11.5 hours,Required,2.72 GPA,3.7 hours,Senior,16-week,72.2%,Lab-heavy,On time,No,Yes,64.63,2 stars,15,5,0 partners,16 cr,6.7 hours,Yes,Large
Grove Campus,In-person,Physics,Not Available,10.2 hours,Required,2.85 GPA,5.5 hours,Graduate,16-week,85.7%,Lecture,Late enroll,Yes,Yes,77.52,3 stars,15,3,1 partner,16 cr,8.8 hours,Yes,Medium
Prairie Campus,Hybrid,Literature,2020 CY,10.9 hours,Required,3.98 GPA,2.5 hours,Senior,10-week,93.8%,Lecture,On time,Yes,No,88.69,4 stars,11,0,0 partners,15 cr,6.3 hours,Yes,Small
River Campus,In-person,Stats,2022 CY,8.0 hours,Required,3.99 GPA,3.5 hours,Sophomore,10-week,70.6%,Studio,On time,Yes,No,78.83,3 stars,10,6,1 partner,15 cr,8.2 hours,Yes,Medium
River Campus,In-person,Stats,2021 CY,2.8 hours,Elective,3.30 GPA,0.8 hours,Graduate,16-week,86.3%,Lab-heavy,On time,Yes,No,66.31,2 stars,14,1,0 partners,16 cr,7.2 hours,Yes,Small
Hill Campus,Online,Algebra,2022 CY,7.7 hours,Elective,3.16 GPA,1.7 hours,Freshman,16-week,100.0%,Studio,On time,No,No,76.8,3 stars,10,3,0 partners,15 cr,6.8 hours,Yes,Small
River Campus,In-person,Chemistry,2021 CY,8.3 hours,Required,2.86 GPA,2.2 hours,Graduate,12-week,94.5%,Lab-heavy,On time,Yes,No,69.43,2 stars,15,7,0 partners,12 cr,8.3 hours,Yes,Small
North Campus,Online,Chemistry,2021 CY,5.4 hours,Required,3.44 GPA,2.3 hours,Senior,16-week,67.3%,Lecture,On time,Yes,Yes,72.32,3 stars,11,8,0 partners,13 cr,7.1 hours,Yes,Small
River Campus,Online,Algebra,2022 CY,8.9 hours,Required,4.00 GPA,3.6 hours,Graduate,10-week,86.6%,Studio,2-year retake,No,No,71.26,3 stars,10,1,0 partners,15 cr,6.7 hours,Yes,Medium
Prairie Campus,Hybrid,History,2020 CY,2.5 hours,Required,2.46 GPA,0.5 hours,Sophomore,16-week,78.5%,Lecture,On time,No,No,57.02,1 star,11,3,2 partners,15 cr,8.3 hours,Yes,Large
North Campus,Hybrid,Stats,2022 CY,9.4 hours,Required,3.24 GPA,5.1 hours,Freshman,16-week,92.9%,Lecture,On time,Yes,Yes,78.54,3 stars,13,5,1 partner,16 cr,8.2 hours,Yes,Medium
Capitol Campus,In-person,Algebra,2023 CY,9.3 hours,Elective,3.39 GPA,1.5 hours,Junior,16-week,76.1%,Studio,3-year retake,No,No,73.75,3 stars,8,5,0 partners,13 cr,8.1 hours,Yes,Large
Hill Campus,In-person,Chemistry,2020 CY,9.4 hours,Required,3.39 GPA,2.3 hours,Junior,16-week,88.5%,Lab-heavy,On time,Yes,No,63.82,2 stars,16,2,1 partner,12 cr,3.5 hours,Yes,Medium
Delta Campus,Online,Civics,Not Available,7.2 hours,Elective,3.89 GPA,1.4 hours,Junior,16-week,80.6%,Studio,On time,Yes,No,73.43,3 stars,12,4,0 partners,12 cr,7.3 hours,No,Small
North Campus,Hybrid,History,2022 CY,8.8 hours,Required,4.00 GPA,3.1 hours,Graduate,16-week,86.0%,Lecture,On time,Yes,No,73.0,3 stars,13,6,1 partner,16 cr,7.0 hours,No,Small
North Campus,In-person,Chemistry,2023 CY,6.6 hours,Required,3.04 GPA,2.0 hours,Junior,10-week,83.3%,Studio,On time,No,No,68.28,2 stars,10,6,2 partners,9 cr,6.8 hours,Yes,Large
River Campus,In-person,Stats,2023 CY,10.5 hours,Required,3.45 GPA,5.7 hours,Sophomore,16-week,86.8%,Lab-heavy,On time,No,Yes,88.77,4 stars,13,8,1 partner,16 cr,7.5 hours,Yes,Medium
River Campus,In-person,Chemistry,2023 CY,9.3 hours,Required,3.19 GPA,2.4 hours,Sophomore,10-week,71.2%,Lab-heavy,3-year retake,Yes,No,71.21,3 stars,14,7,1 partner,9 cr,7.1 hours,Yes,Large
Grove Campus,In-person,Algebra,2023 CY,6.2 hours,Required,2.75 GPA,1.0 hours,Freshman,12-week,87.9%,Studio,Late enroll,Yes,No,66.25,2 stars,11,6,0 partners,13 cr,7.5 hours,Yes,Medium
Harbor Campus,Online,Algebra,2023 CY,11.4 hours,Required,3.15 GPA,5.5 hours,Freshman,16-week,87.8%,Lecture,On time,Yes,Yes,82.09,4 stars,15,6,0 partners,16 cr,6.5 hours,No,Medium
Harbor Campus,In-person,Stats,2022 CY,10.7 hours,Elective,3.33 GPA,4.7 hours,Freshman,12-week,72.8%,Lab-heavy,On time,Yes,Yes,85.15,4 stars,16,8,2 partners,13 cr,8.4 hours,Yes,Large
Prairie Campus,Online,Biology,2021 CY,8.6 hours,Required,3.25 GPA,3.4 hours,Senior,10-week,89.9%,Lab-heavy,2-year retake,No,No,72.99,3 stars,16,3,1 partner,16 cr,7.7 hours,Yes,Large
Capitol Campus,Hybrid,Chemistry,2020 CY,18.2 hours,Required,2.75 GPA,6.3 hours,Senior,16-week,84.2%,Lab-heavy,On time,Yes,Yes,89.89,4 stars,12,6,1 partner,12 cr,7.4 hours,Yes,Small
Grove Campus,Hybrid,Algebra,2022 CY,8.0 hours,Elective,2.94 GPA,3.0 hours,Junior,12-week,81.6%,Studio,Late enroll,No,No,66.11,2 stars,13,7,3 partners,15 cr,7.3 hours,Yes,Large
Hill Campus,In-person,History,2019 CY,8.2 hours,Required,2.94 GPA,1.7 hours,Sophomore,16-week,96.6%,Lab-heavy,On time,Yes,No,71.15,3 stars,15,0,0 partners,15 cr,8.1 hours,Yes,Medium
Grove Campus,In-person,Stats,2021 CY,9.1 hours,Required,2.77 GPA,5.3 hours,Junior,12-week,92.3%,Lecture,On time,Yes,Yes,78.04,3 stars,12,8,2 partners,16 cr,7.9 hours,No,Large
River Campus,Online,Chemistry,2019 CY,6.0 hours,Required,3.29 GPA,1.2 hours,Senior,16-week,91.7%,Lecture,Late enroll,Yes,No,62.13,2 stars,12,6,1 partner,12 cr,6.7 hours,Yes,Medium
Capitol Campus,Online,Stats,2022 CY,12.7 hours,Required,3.34 GPA,6.3 hours,Senior,16-week,83.1%,Studio,On time,No,Yes,72.3,3 stars,13,9,0 partners,13 cr,7.9 hours,Yes,Medium
Capitol Campus,In-person,Biology,2020 CY,6.3 hours,Elective,3.59 GPA,1.3 hours,Junior,10-week,99.3%,Studio,On time,Yes,No,65.65,2 stars,10,6,0 partners,15 cr,7.0 hours,Yes,Medium
River Campus,Hybrid,Chemistry,2022 CY,6.7 hours,Elective,2.76 GPA,2.6 hours,Senior,16-week,81.2%,Studio,Late enroll,Yes,No,63.18,2 stars,14,1,1 partner,18 cr,8.9 hours,No,Large
River Campus,In-person,Civics,2023 CY,8.8 hours,Required,2.89 GPA,4.8 hours,Junior,10-week,94.1%,Lecture,On time,Yes,Yes,83.96,4 stars,14,4,0 partners,16 cr,8.0 hours,Yes,Small
Harbor Campus,Hybrid,Chemistry,2023 CY,5.9 hours,Required,3.85 GPA,2.4 hours,Sophomore,12-week,90.0%,Lecture,On time,No,No,70.94,3 stars,11,0,1 partner,16 cr,6.1 hours,Yes,Medium
Grove Campus,In-person,Biology,2021 CY,2.9 hours,Elective,3.08 GPA,0.8 hours,Senior,12-week,100.0%,Lab-heavy,On time,No,No,81.07,3 stars,14,4,1 partner,15 cr,9.4 hours,Yes,Medium
Capitol Campus,In-person,Civics,2022 CY,7.0 hours,Elective,3.16 GPA,2.0 hours,Sophomore,12-week,96.2%,Lab-heavy,On time,No,No,64.86,2 stars,12,3,1 partner,15 cr,4.5 hours,Yes,Medium
Grove Campus,In-person,History,2022 CY,11.9 hours,Required,3.07 GPA,4.8 hours,Sophomore,10-week,84.6%,Lecture,On time,Yes,No,81.37,3 stars,11,3,1 partner,16 cr,7.5 hours,Yes,Medium
Delta Campus,In-person,Chemistry,2022 CY,9.1 hours,Elective,3.66 GPA,2.9 hours,Sophomore,16-week,82.6%,Lab-heavy,On time,No,No,79.18,3 stars,16,5,1 partner,16 cr,6.0 hours,Yes,Medium
Prairie Campus,In-person,Stats,2023 CY,14.1 hours,Required,3.68 GPA,4.7 hours,Junior,16-week,88.5%,Lecture,On time,Yes,No,93.84,4 stars,15,6,1 partner,16 cr,8.9 hours,Yes,Medium
Delta Campus,In-person,Biology,2021 CY,12.9 hours,Required,3.65 GPA,4.0 hours,Junior,16-week,75.4%,Lecture,2-year retake,No,Yes,86.07,4 stars,13,0,2 partners,16 cr,7.1 hours,Yes,Medium
River Campus,In-person,History,Not Available,10.8 hours,Required,3.16 GPA,3.1 hours,Junior,16-week,78.5%,Lecture,On time,Yes,No,78.15,3 stars,11,7,0 partners,16 cr,5.9 hours,Yes,Medium
River Campus,Online,Algebra,2020 CY,16.5 hours,Required,2.76 GPA,5.5 hours,Sophomore,16-week,64.7%,Lecture,On time,Yes,Yes,81.05,3 stars,12,3,3 partners,12 cr,6.5 hours,Yes,Medium
Delta Campus,In-person,History,2023 CY,8.2 hours,Elective,3.90 GPA,2.9 hours,Freshman,10-week,73.5%,Lecture,On time,No,No,83.02,4 stars,9,6,0 partners,12 cr,6.0 hours,Yes,Large
Delta Campus,Online,Biology,2022 CY,9.3 hours,Required,3.54 GPA,1.9 hours,Senior,10-week,99.9%,Studio,2-year retake,No,No,77.74,3 stars,12,4,0 partners,18 cr,6.5 hours,No,Medium
Hill Campus,Hybrid,Physics,2021 CY,9.1 hours,Required,2.94 GPA,2.5 hours,Sophomore,16-week,79.4%,Lab-heavy,On time,Yes,No,61.64,2 stars,15,3,1 partner,15 cr,6.4 hours,Yes,Small
Prairie Campus,In-person,Biology,2023 CY,14.0 hours,Required,3.94 GPA,5.7 hours,Graduate,16-week,100.0%,Studio,Late enroll,Yes,No,89.08,4 stars,12,1,0 partners,12 cr,6.0 hours,Yes,Medium
Capitol Campus,In-person,Physics,2020 CY,10.5 hours,Required,2.79 GPA,4.5 hours,Freshman,12-week,93.0%,Lecture,On time,No,Yes,64.09,2 stars,10,1,0 partners,15 cr,7.1 hours,Yes,Small
