branch,channel,product_class,orig_vintage,annual_income_usd,purpose,other_debt_usd,requested_usd,employment_status,term_months,note_rate,complexity,file_timing,digital_app,existing_customer,offer_amount,bureau_stars,Number of Inquiries,Number of Trades,borrowers,down_payment_usd,reserves_usd,state_resident,collateral
Harbor Branch,Branch,Student,2022 VY,"$26,300",Purchase,"$2,650","$16,900",Employed,120-month,5.15%,Simple,On time,Yes,No,12971.17,3 stars,1,7,4 borrowers,$0,"$4,730",Yes,Auto
Prairie Branch,Branch,Personal,2021 VY,"$59,200",Purchase,"$10,730","$11,600",Employed,36-month,11.11%,Simple,On time,No,No,9661.63,3 stars,4,8,1 borrower,$0,"$8,440",Yes,Unsecured
River Branch,Branch,Student,2019 VY,"$34,700",Refinance,"$7,780","$15,700",Self-employed,180-month,5.12%,Simple,On time,Yes,Yes,13132.03,2 stars,7,9,1 borrower,$0,"$5,500",Yes,Auto
Harbor Branch,Online,HELOC,Not Available,"$65,200",Purchase,"$6,080","$39,700",Self-employed,180-month,6.31%,Schedule-heavy,On time,Yes,No,37615.2,5 stars,4,10,2 borrowers,"$5,480","$7,740",Yes,Unsecured
Harbor Branch,Broker,Mortgage,2020 VY,"$69,400",Purchase,"$17,570","$224,900",Retired,360-month,6.08%,Full-doc,On time,Yes,No,182228.56,3 stars,7,9,1 borrower,"$23,580","$2,720",Yes,Auto
Highland Branch,Branch,Mortgage,2020 VY,"$98,100",Purchase,"$26,830","$333,500",Contract,360-month,10.20%,Full-doc,2-year prior,Yes,No,208614.22,3 stars,7,13,1 borrower,"$24,730","$22,920",Yes,Unsecured
Capitol Branch,Online,Auto,2020 VY,"$76,100",Purchase,"$21,650","$10,300",Self-employed,60-month,5.86%,Simple,On time,No,No,9518.11,3 stars,5,10,1 borrower,"$2,110","$7,280",Yes,Real-estate
Central Branch,Branch,Ag,Not Available,"$37,000",Refinance,"$9,670","$72,900",Employed,84-month,5.97%,Schedule-heavy,On time,No,No,63871.37,3 stars,5,5,1 borrower,$0,"$3,400",Yes,Auto
Highland Branch,Branch,Student,2022 VY,"$26,200",Purchase,"$1,080","$26,700",Self-employed,120-month,4.91%,Simple,On time,No,No,26773.7,4 stars,7,4,1 borrower,$0,"$1,680",Yes,Auto
River Branch,Branch,Auto,2022 VY,"$53,100",Purchase,"$3,710","$20,600",Employed,60-month,9.52%,Simple,On time,Yes,Yes,14948.86,2 stars,6,12,2 borrowers,"$3,200","$13,180",Yes,Unsecured
Highland Branch,Branch,Personal,Not Available,"$59,500",Refinance,"$6,350","$11,400",Employed,36-month,10.11%,Simple,On time,No,Yes,10952.59,4 stars,1,12,1 borrower,$0,"$14,090",Yes,Unsecured
Harbor Branch,Online,Personal,2020 VY,"$51,800",Refinance,"$2,360","$18,500",Employed,54-month,12.65%,Simple,On time,No,No,12913.03,3 stars,4,8,2 borrowers,$0,"$5,200",No,Unsecured
Central Branch,Broker,Mortgage,Not Available,"$74,500",Refinance,"$23,460","$157,300",Employed,360-month,5.00%,Full-doc,On time,Yes,No,151549.21,3 stars,3,10,1 borrower,"$15,080","$5,950",Yes,Real-estate
Prairie Branch,Branch,Card,2021 VY,"$77,700",Purchase,"$6,840","$7,900",Employed,24-month,15.02%,Simple,Late docs,Yes,No,6628.96,2 stars,8,12,3 borrowers,$0,"$15,950",Yes,Real-estate
North Branch,Online,Student,2023 VY,"$23,100",Purchase,"$8,080","$11,400",Contract,120-month,11.26%,Simple,3-year prior,No,Yes,5968.67,2 stars,3,8,2 borrowers,$0,"$2,710",Yes,Unsecured
Harbor Branch,Online,Personal,2022 VY,"$46,700",Purchase,"$4,050","$4,800",Public,36-month,7.64%,Simple,3-year prior,Yes,Yes,2824.52,3 stars,7,13,4 borrowers,$0,"$11,330",Yes,Real-estate
Prairie Branch,Broker,HELOC,2022 VY,"$43,400",Purchase,"$5,430","$52,100",Contract,270-month,5.57%,Schedule-heavy,Late docs,Yes,Yes,44303.23,3 stars,4,10,1 borrower,"$2,930","$9,860",Yes,Auto
Prairie Branch,Online,Auto,Not Available,"$43,700",Purchase,"$5,580","$12,300",Self-employed,60-month,10.47%,Simple,On time,No,No,9947.06,2 stars,7,6,1 borrower,"$2,090","$8,510",Yes,Unsecured
Central Branch,Branch,HELOC,2020 VY,"$102,500",Refinance,"$23,390","$54,800",Self-employed,180-month,5.82%,Schedule-heavy,Late docs,Yes,No,46431.61,3 stars,8,14,2 borrowers,"$3,480","$4,170",No,Auto
Highland Branch,Online,Auto,Not Available,"$64,400",Purchase,"$17,040","$30,600",Employed,60-month,8.87%,Simple,On time,Yes,No,25835.77,3 stars,2,10,2 borrowers,"$7,020","$11,690",Yes,Unsecured
Prairie Branch,Branch,SME,2021 VY,"$137,000",Purchase,"$46,020","$140,200",Contract,60-month,9.17%,Schedule-heavy,On time,Yes,Yes,112737.37,3 stars,6,22,1 borrower,$0,"$33,850",Yes,Unsecured
Capitol Branch,Broker,Card,2023 VY,"$64,500",Purchase,"$6,060","$8,300",Self-employed,24-month,15.30%,Simple,On time,No,No,8563.1,2 stars,1,10,2 borrowers,$0,"$6,830",Yes,Auto
River Branch,Branch,Auto,Not Available,"$99,800",Purchase,"$26,480","$29,800",Employed,60-month,9.78%,Simple,On time,No,No,22984.72,3 stars,0,14,2 borrowers,"$7,770","$22,230",Yes,Unsecured
Prairie Branch,Online,SME,2019 VY,"$76,300",Purchase,"$26,930","$96,900",Employed,60-month,5.60%,Schedule-heavy,3-year prior,No,Yes,84426.15,3 stars,4,14,1 borrower,$0,"$8,690",No,Real-estate
Prairie Branch,Branch,Ag,Not Available,"$23,400",Refinance,"$2,900","$56,300",Retired,84-month,9.85%,Schedule-heavy,2-year prior,No,No,31276.47,1 star,5,4,2 borrowers,$0,"$5,700",Yes,Auto
Harbor Branch,Branch,Personal,2022 VY,"$33,100",Purchase,"$1,250","$4,600",Self-employed,36-month,8.50%,Simple,On time,Yes,No,4287.98,3 stars,1,5,1 borrower,$0,"$5,640",Yes,Real-estate
North Branch,Broker,Personal,2023 VY,"$39,300",Purchase,"$4,180","$22,000",Employed,36-month,7.49%,Simple,On time,Yes,Yes,21058.73,3 stars,7,9,1 borrower,$0,"$1,660",Yes,Auto
Central Branch,Online,SME,2020 VY,"$66,200",Purchase,"$4,130","$53,800",Self-employed,60-month,8.35%,Schedule-heavy,On time,Yes,Yes,34347.39,1 star,0,15,3 borrowers,$0,"$8,620",Yes,Real-estate
Harbor Branch,Branch,Auto,2022 VY,"$59,900",Purchase,"$22,600","$32,600",Employed,60-month,10.57%,Simple,On time,Yes,No,24478.83,3 stars,4,9,2 borrowers,"$5,280","$1,880",Yes,Unsecured
Highland Branch,Broker,Personal,2023 VY,"$74,500",Purchase,"$14,830","$16,600",Employed,36-month,7.68%,Simple,Late docs,No,No,13773.37,3 stars,5,11,2 borrowers,$0,"$8,260",Yes,Auto
Harbor Branch,Broker,Mortgage,2022 VY,"$141,300",Refinance,"$33,890","$158,000",Employed,360-month,6.26%,Full-doc,3-year prior,No,No,121985.64,3 stars,5,19,2 borrowers,"$23,520","$32,570",Yes,Auto
Delta Branch,Branch,Student,2020 VY,"$32,500",Purchase,"$10,940","$20,000",Employed,120-month,4.34%,Simple,On time,Yes,No,19107.3,3 stars,1,8,4 borrowers,$0,"$2,390",Yes,Real-estate
Capitol Branch,Online,Auto,2021 VY,"$100,800",Purchase,"$18,510","$38,400",Contract,60-month,9.44%,Simple,On time,No,Yes,29058.35,3 stars,3,17,1 borrower,"$8,150","$24,050",No,Unsecured
Highland Branch,Online,Auto,2023 VY,"$50,900",Refinance,"$12,560","$33,800",Employed,60-month,7.34%,Simple,On time,No,No,23995.44,2 stars,5,7,1 borrower,"$5,240","$2,190",Yes,Auto
Delta Branch,Online,HELOC,2019 VY,"$42,300",Purchase,"$3,390","$45,100",Contract,180-month,8.81%,Schedule-heavy,On time,Yes,No,29202.41,1 star,2,6,1 borrower,"$5,610","$7,310",Yes,Real-estate
North Branch,Branch,Mortgage,2023 VY,"$125,700",Refinance,"$28,190","$180,200",Employed,360-month,7.75%,Full-doc,On time,Yes,Yes,167194.33,4 stars,5,21,2 borrowers,"$39,120","$30,430",Yes,Unsecured
Harbor Branch,Branch,HELOC,Not Available,"$36,500",Purchase,"$3,870","$56,900",Contract,180-month,4.71%,Schedule-heavy,On time,Yes,No,53347.61,3 stars,3,6,2 borrowers,"$7,670","$6,220",Yes,Real-estate
Central Branch,Broker,Mortgage,2019 VY,"$67,800",Purchase,"$9,840","$226,100",Self-employed,360-month,7.43%,Full-doc,On time,Yes,Yes,211303.54,4 stars,6,14,2 borrowers,"$20,150","$15,380",Yes,Unsecured
Capitol Branch,Broker,Card,2020 VY,"$63,900",Refinance,"$9,440","$11,400",Self-employed,36-month,18.88%,Simple,On time,Yes,Yes,8640.27,2 stars,3,12,1 borrower,$0,"$15,840",Yes,Unsecured
Harbor Branch,Broker,SME,2023 VY,"$105,400",Purchase,"$34,200","$107,000",Self-employed,60-month,3.90%,Schedule-heavy,On time,Yes,Yes,108360.24,4 stars,2,18,1 borrower,$0,"$17,670",Yes,Auto
Highland Branch,Broker,Personal,2019 VY,"$48,600",Purchase,"$14,040","$5,700",Retired,36-month,11.18%,Simple,Late docs,Yes,No,3632.45,1 star,7,9,3 borrowers,$0,"$9,720",Yes,Auto
River Branch,Online,Card,2022 VY,"$31,600",Purchase,"$10,530","$9,300",Employed,24-month,18.76%,Simple,On time,Yes,Yes,5279.04,2 stars,5,9,2 borrowers,$0,$860,Yes,Unsecured
North Branch,Online,Mortgage,2023 VY,"$91,700",Purchase,"$5,450","$225,000",Contract,360-month,9.55%,Full-doc,2-year prior,No,Yes,153461.84,3 stars,6,16,1 borrower,"$18,150","$10,850",Yes,Unsecured
North Branch,Online,Personal,2022 VY,"$70,100",Purchase,"$29,830","$14,200",Contract,18-month,11.43%,Simple,On time,No,No,10364.32,3 stars,7,10,2 borrowers,$0,"$6,050",Yes,Unsecured
River Branch,Online,Personal,2021 VY,"$52,400",Purchase,"$2,730","$15,200",Employed,36-month,6.35%,Simple,On time,Yes,Yes,16451.1,4 stars,4,12,2 borrowers,$0,"$10,980",Yes,Real-estate
Central Branch,Branch,SME,2023 VY,"$72,600",Refinance,"$27,660","$120,700",Employed,60-month,6.10%,Schedule-heavy,On time,Yes,No,93916.6,3 stars,2,11,2 borrowers,$0,"$12,770",Yes,Real-estate
Capitol Branch,Branch,Personal,2022 VY,"$29,500",Purchase,"$11,900","$18,800",Employed,36-month,10.25%,Simple,Late docs,Yes,No,10915.42,2 stars,1,4,1 borrower,$0,"$4,760",No,Auto
Prairie Branch,Online,Auto,2021 VY,"$41,800",Purchase,"$12,120","$16,200",Employed,60-month,9.93%,Simple,On time,Yes,Yes,12514.34,2 stars,3,11,2 borrowers,"$3,690","$9,790",Yes,Unsecured
Capitol Branch,Branch,Personal,2022 VY,"$59,100",Purchase,"$14,070","$13,700",Employed,36-month,8.79%,Simple,On time,Yes,Yes,11401.55,2 stars,0,12,1 borrower,$0,"$2,390",Yes,Auto
Central Branch,Branch,Mortgage,2023 VY,"$103,000",Purchase,"$31,910","$202,300",Employed,360-month,4.00%,Full-doc,On time,Yes,No,205811.99,4 stars,0,13,1 borrower,"$47,290","$24,660",No,Real-estate
Capitol Branch,Online,Auto,2023 VY,"$42,000",Purchase,"$11,780","$9,000",Self-employed,60-month,4.11%,Simple,3-year prior,Yes,Yes,7554.55,3 stars,4,11,2 borrowers,"$2,440","$1,810",Yes,Real-estate
Harbor Branch,Branch,Mortgage,2022 VY,"$21,300",Purchase,"$1,580","$230,800",Employed,360-month,6.80%,Full-doc,On time,No,Yes,197243.99,4 stars,2,7,1 borrower,"$50,920","$2,130",Yes,Unsecured
Prairie Branch,Branch,Auto,2021 VY,"$66,400",Purchase,"$22,710","$36,200",Public,60-month,8.88%,Simple,On time,Yes,No,27619.19,3 stars,7,9,1 borrower,"$7,740","$10,950",No,Unsecured
Central Branch,Online,Personal,2020 VY,"$35,800",Purchase,"$2,260","$5,600",Employed,36-month,10.22%,Simple,Late docs,No,No,3831.1,2 stars,6,5,1 borrower,$0,"$3,530",Yes,Real-estate
Central Branch,Broker,SME,2021 VY,"$141,000",Purchase,"$30,490","$84,300",Contract,60-month,4.92%,Schedule-heavy,On time,Yes,No,77946.69,3 stars,6,18,1 borrower,$0,"$24,950",Yes,Real-estate
Delta Branch,Branch,Auto,2019 VY,"$42,900",Purchase,"$13,610","$21,600",Employed,60-month,10.25%,Simple,On time,Yes,No,13754.07,2 stars,4,7,2 borrowers,"$1,520","$8,510",Yes,Unsecured
Central Branch,Branch,SME,Not Available,"$65,500",Purchase,"$25,660","$93,600",Employed,30-month,6.31%,Schedule-heavy,Late docs,No,No,40940.28,2 stars,2,9,1 borrower,$0,"$13,790",Yes,Real-estate
Central Branch,Branch,Personal,2021 VY,"$54,800",Refinance,"$13,370","$9,300",Employed,36-month,13.02%,Simple,On time,Yes,No,6660.44,2 stars,6,8,2 borrowers,$0,"$3,360",Yes,Unsecured
Prairie Branch,Online,Personal,2023 VY,"$94,400",Refinance,"$13,580","$7,000",Self-employed,36-month,13.39%,Simple,On time,No,No,7166.69,2 stars,3,14,3 borrowers,$0,"$5,840",Yes,Unsecured
River Branch,Broker,Auto,2020 VY,"$73,000",Purchase,"$16,800","$11,400",Employed,60-month,6.33%,Simple,On time,No,No,8404.26,3 stars,3,10,1 borrower,"$2,910","$2,340",No,Real-estate
North Branch,Branch,Mortgage,2021 VY,"$96,400",Refinance,"$12,010","$351,800",Retired,360-month,7.57%,Full-doc,On time,Yes,No,258337.57,2 stars,4,14,2 borrowers,"$66,540","$12,810",Yes,Auto
Delta Branch,Online,Auto,2022 VY,"$65,200",Refinance,"$15,790","$14,400",Employed,60-month,5.54%,Simple,2-year prior,Yes,No,10989.75,3 stars,4,9,1 borrower,$800,"$3,370",Yes,Auto
River Branch,Branch,HELOC,2021 VY,"$39,000",Purchase,"$10,940","$45,400",Self-employed,180-month,4.96%,Schedule-heavy,On time,Yes,Yes,44054.95,3 stars,3,9,1 borrower,"$9,820","$3,640",No,Real-estate
Harbor Branch,Branch,Auto,2023 VY,"$35,600",Refinance,"$11,560","$38,200",Employed,60-month,6.58%,Simple,On time,Yes,No,31535.3,3 stars,4,5,1 borrower,"$10,070","$7,590",Yes,Real-estate
Delta Branch,Broker,Mortgage,Not Available,"$14,000",Purchase,"$1,290","$178,300",Self-employed,360-month,10.29%,Full-doc,On time,Yes,No,114655.14,2 stars,5,2,1 borrower,"$35,240","$3,330",Yes,Unsecured
Capitol Branch,Branch,SME,2023 VY,"$187,800",Refinance,"$23,110","$95,200",Employed,60-month,5.80%,Schedule-heavy,On time,Yes,Yes,87981.43,3 stars,4,28,1 borrower,$0,"$39,260",Yes,Auto
Central Branch,Branch,Personal,2020 VY,"$79,500",Purchase,"$18,910","$19,200",Employed,36-month,9.98%,Simple,On time,No,No,14344.43,2 stars,7,10,1 borrower,$0,"$1,600",Yes,Real-estate
Capitol Branch,Branch,Mortgage,2023 VY,"$104,600",Purchase,"$5,170","$325,300",Employed,360-month,5.87%,Full-doc,On time,No,No,276337.46,3 stars,7,15,2 borrowers,"$80,710","$15,760",No,Auto
Harbor Branch,Online,Auto,2020 VY,"$60,700",Purchase,"$7,400","$11,700",Employed,90-month,5.10%,Simple,2-year prior,Yes,Yes,10069.72,3 stars,2,13,2 borrowers,"$1,510","$3,540",Yes,Real-estate
North Branch,Broker,Mortgage,2023 VY,"$42,300",Refinance,"$6,780","$180,100",Employed,360-month,7.21%,Full-doc,On time,Yes,Yes,139151.46,2 stars,0,12,3 borrowers,"$28,650","$4,500",Yes,Auto
Harbor Branch,Broker,Personal,2022 VY,"$48,100",Purchase,"$10,920","$15,500",Retired,54-month,10.12%,Simple,Late docs,No,Yes,14537.06,4 stars,7,12,2 borrowers,$0,"$5,700",Yes,Unsecured
Capitol Branch,Branch,Student,2021 VY,"$44,100",Purchase,"$7,600","$30,200",Employed,120-month,10.37%,Simple,On time,No,Yes,25580.9,3 stars,6,11,2 borrowers,$0,"$10,450",Yes,Unsecured
Highland Branch,Branch,Card,2020 VY,"$56,500",Purchase,"$13,330","$5,900",Employed,24-month,13.03%,Simple,On time,Yes,No,5904.72,3 stars,4,8,1 borrower,$0,"$9,370",Yes,Real-estate
North Branch,Online,Personal,2019 VY,"$41,800",Purchase,"$16,930","$11,600",Retired,36-month,11.12%,Simple,Late docs,Yes,No,5307.03,2 stars,4,7,2 borrowers,$0,"$3,410",No,Real-estate
Capitol Branch,Branch,SME,2021 VY,"$30,900",Refinance,"$7,740","$97,500",Employed,90-month,8.89%,Schedule-heavy,Late docs,No,Yes,64718.82,3 stars,5,8,1 borrower,$0,"$5,190",Yes,Unsecured
River Branch,Broker,Student,2023 VY,"$40,400",Refinance,"$8,810","$21,900",Employed,120-month,9.34%,Simple,On time,No,No,17043.46,3 stars,7,8,3 borrowers,$0,"$9,650",Yes,Unsecured
North Branch,Online,Auto,2023 VY,"$56,600",Purchase,"$3,980","$27,200",Contract,60-month,5.75%,Simple,On time,No,Yes,23890.61,3 stars,1,14,3 borrowers,"$6,830","$1,900",Yes,Real-estate
Central Branch,Branch,Student,Not Available,"$14,000",Purchase,"$1,170","$12,700",Public,120-month,9.74%,Simple,Late docs,Yes,Yes,8808.87,2 stars,4,6,1 borrower,$0,"$2,910",Yes,Unsecured
Prairie Branch,Broker,SME,2020 VY,"$68,400",Purchase,"$18,010","$69,200",Contract,60-month,10.04%,Schedule-heavy,On time,Yes,No,49111.43,3 stars,5,10,2 borrowers,$0,"$4,780",Yes,Unsecured
Harbor Branch,Branch,Card,2022 VY,"$29,700",Purchase,"$8,500","$8,600",Employed,24-month,13.46%,Simple,On time,Yes,No,6416.53,3 stars,3,5,2 borrowers,$0,"$1,640",Yes,Real-estate
Harbor Branch,Branch,Ag,2021 VY,"$68,000",Refinance,"$1,850","$93,700",Retired,84-month,6.14%,Schedule-heavy,On time,Yes,No,78983.25,3 stars,0,10,2 borrowers,$0,"$15,420",Yes,Real-estate
Capitol Branch,Online,Personal,2022 VY,"$55,700",Refinance,"$5,870","$12,800",Employed,36-month,9.31%,Simple,On time,No,No,9231.53,3 stars,5,7,1 borrower,$0,"$1,140",Yes,Real-estate
Harbor Branch,Online,Mortgage,2021 VY,"$75,900",Purchase,"$11,930","$238,100",Retired,360-month,6.34%,Full-doc,On time,Yes,No,180522.71,2 stars,5,11,2 borrowers,"$17,540","$14,460",Yes,Auto
Delta Branch,Online,Mortgage,2021 VY,"$116,900",Purchase,"$16,970","$153,800",Public,360-month,9.15%,Full-doc,On time,No,Yes,115494.85,2 stars,5,20,2 borrowers,"$18,380","$4,680",Yes,Unsecured
Harbor Branch,Online,Personal,2022 VY,"$53,400",Purchase,"$21,500","$23,100",Retired,36-month,10.66%,Simple,2-year prior,No,No,15273.88,2 stars,6,7,1 borrower,$0,"$8,660",Yes,Real-estate
Prairie Branch,Broker,Auto,2020 VY,"$79,200",Purchase,"$6,820","$23,200",Employed,60-month,9.45%,Simple,On time,No,No,18771.11,3 stars,5,11,2 borrowers,"$3,790","$12,890",Yes,Unsecured
Delta Branch,Broker,Ag,2022 VY,"$61,300",Purchase,"$3,490","$89,500",Employed,84-month,7.50%,Schedule-heavy,On time,No,Yes,77202.01,3 stars,2,12,1 borrower,$0,"$13,390",Yes,Unsecured
Highland Branch,Online,Personal,2023 VY,"$106,800",Refinance,"$18,890","$14,100",Self-employed,36-month,8.61%,Simple,3-year prior,No,No,13167.3,3 stars,1,16,3 borrowers,$0,"$22,340",Yes,Real-estate
Capitol Branch,Branch,Mortgage,2020 VY,"$73,900",Purchase,"$6,850","$247,200",Employed,360-month,6.35%,Full-doc,On time,Yes,Yes,227502.91,3 stars,7,14,1 borrower,"$66,580","$13,120",Yes,Auto
North Branch,Online,HELOC,Not Available,"$62,700",Refinance,"$5,030","$26,100",Self-employed,180-month,5.69%,Schedule-heavy,On time,Yes,No,23109.01,3 stars,1,8,1 borrower,"$3,900","$6,740",No,Real-estate
Delta Branch,Broker,Auto,2022 VY,"$37,500",Purchase,"$7,200","$5,400",Retired,60-month,9.63%,Simple,On time,Yes,No,4245.56,2 stars,6,5,1 borrower,$820,"$2,190",No,Unsecured
Delta Branch,Branch,Mortgage,2023 VY,"$85,200",Purchase,"$12,390","$345,200",Self-employed,360-month,9.17%,Full-doc,On time,No,No,227440.86,1 star,4,12,2 borrowers,"$29,410","$14,160",Yes,Real-estate
Harbor Branch,Branch,Ag,2023 VY,"$20,400",Purchase,"$1,540","$66,800",Employed,84-month,6.88%,Schedule-heavy,On time,No,Yes,45832.34,3 stars,4,8,2 borrowers,$0,"$2,740",Yes,Auto
Harbor Branch,Branch,Mortgage,2023 VY,"$101,400",Purchase,"$27,410","$257,300",Employed,360-month,6.86%,Full-doc,3-year prior,Yes,No,173993.33,2 stars,1,13,1 borrower,"$61,080","$3,850",Yes,Auto
Central Branch,Branch,Personal,2023 VY,"$17,700",Purchase,"$3,000","$7,900",Employed,36-month,10.83%,Simple,Late docs,Yes,No,3535.6,2 stars,9,3,1 borrower,$0,"$4,240",Yes,Real-estate
River Branch,Online,Personal,2023 VY,"$54,900",Purchase,"$4,130","$9,600",Employed,36-month,12.98%,Simple,On time,Yes,Yes,7533.37,2 stars,4,12,2 borrowers,$0,"$5,070",No,Unsecured
River Branch,Branch,Card,2022 VY,"$28,300",Refinance,"$10,720","$11,000",Employed,24-month,13.43%,Simple,On time,Yes,Yes,10527.73,3 stars,6,8,1 borrower,$0,$580,Yes,Auto
Prairie Branch,Online,Auto,2021 VY,"$50,400",Purchase,"$7,270","$35,400",Public,60-month,7.01%,Simple,2-year prior,No,No,23193.72,2 stars,6,7,1 borrower,"$4,870","$11,460",Yes,Auto
Delta Branch,Broker,Mortgage,2020 VY,"$111,300",Purchase,"$48,020","$187,800",Contract,360-month,6.79%,Full-doc,On time,Yes,Yes,158445.12,2 stars,1,21,4 borrowers,"$46,720","$17,000",Yes,Real-estate
Central Branch,Broker,Personal,2022 VY,"$93,500",Refinance,"$36,670","$17,300",Self-employed,36-month,6.66%,Simple,Late docs,No,No,16903.82,4 stars,9,12,1 borrower,$0,"$17,630",Yes,Real-estate
Capitol Branch,Branch,Mortgage,2019 VY,"$57,500",Purchase,"$11,450","$256,000",Employed,360-month,7.69%,Full-doc,On time,Yes,No,171437.62,1 star,4,9,2 borrowers,"$33,240","$3,170",Yes,Auto
Central Branch,Branch,Card,2021 VY,"$51,100",Purchase,"$5,980","$7,700",Self-employed,24-month,16.89%,Simple,Late docs,Yes,Yes,3250.07,2 stars,2,11,1 borrower,$0,"$5,780",Yes,Unsecured
Harbor Branch,Online,Mortgage,2019 VY,"$68,800",Purchase,"$23,410","$395,600",Public,360-month,12.32%,Full-doc,Late docs,Yes,No,197895.94,2 stars,6,10,2 borrowers,"$101,790","$11,580",Yes,Unsecured
Highland Branch,Online,Ag,2022 VY,"$45,900",Purchase,"$8,960","$54,700",Public,84-month,5.71%,Schedule-heavy,On time,No,Yes,47924.81,3 stars,4,11,2 borrowers,$0,"$3,570",Yes,Real-estate
Highland Branch,Online,Auto,2020 VY,"$43,700",Refinance,"$3,640","$31,600",Self-employed,60-month,6.72%,Simple,On time,Yes,No,27656.34,3 stars,5,6,1 borrower,"$6,450","$7,920",Yes,Real-estate
Harbor Branch,Broker,Mortgage,2022 VY,"$118,400",Refinance,"$28,870","$272,000",Public,360-month,8.21%,Full-doc,Late docs,Yes,No,174528.09,2 stars,4,16,2 borrowers,"$64,620","$8,730",No,Real-estate
Harbor Branch,Branch,HELOC,2023 VY,"$74,300",Purchase,"$16,140","$54,700",Employed,180-month,8.36%,Schedule-heavy,On time,Yes,Yes,46953.58,3 stars,7,16,3 borrowers,"$11,640","$5,060",Yes,Unsecured
River Branch,Broker,Mortgage,2023 VY,"$164,000",Purchase,"$58,350","$355,200",Employed,180-month,8.07%,Full-doc,On time,No,No,312224.34,4 stars,1,22,2 borrowers,"$38,530","$3,720",Yes,Unsecured
Central Branch,Branch,Auto,2021 VY,"$66,300",Refinance,"$18,920","$24,200",Public,90-month,4.95%,Simple,On time,No,No,23576.07,4 stars,3,9,1 borrower,"$3,810","$5,620",Yes,Real-estate
Highland Branch,Branch,HELOC,2022 VY,"$59,700",Refinance,"$21,710","$53,100",Employed,180-month,4.92%,Schedule-heavy,On time,No,No,53508.82,4 stars,6,8,1 borrower,"$10,720","$4,580",Yes,Real-estate
Central Branch,Online,Auto,2022 VY,"$50,700",Purchase,"$17,230","$32,600",Employed,60-month,10.49%,Simple,On time,Yes,Yes,21096.27,2 stars,0,13,3 borrowers,"$6,040","$9,930",Yes,Unsecured
North Branch,Branch,Mortgage,2022 VY,"$66,300",Refinance,"$19,070","$344,900",Employed,360-month,6.07%,Full-doc,On time,No,No,282839.01,3 stars,3,9,1 borrower,"$87,460","$10,010",Yes,Auto
Prairie Branch,Branch,Ag,2023 VY,"$96,000",Purchase,"$23,960","$92,300",Employed,84-month,9.04%,Schedule-heavy,On time,Yes,No,73379.22,3 stars,3,13,1 borrower,$0,"$5,850",Yes,Unsecured
North Branch,Branch,Personal,2021 VY,"$22,500",Purchase,"$10,240","$2,000",Self-employed,36-month,7.40%,Simple,2-year prior,No,Yes,0.0,3 stars,6,7,1 borrower,$0,"$3,390",Yes,Auto
Harbor Branch,Branch,Auto,Not Available,"$31,200",Purchase,"$13,250","$25,400",Self-employed,30-month,7.60%,Simple,On time,Yes,No,19208.98,4 stars,6,5,2 borrowers,"$2,520","$2,240",Yes,Unsecured
Harbor Branch,Online,Personal,2020 VY,"$41,400",Purchase,"$17,270","$15,000",Employed,36-month,10.74%,Simple,On time,Yes,Yes,14302.47,4 stars,6,10,1 borrower,$0,"$4,880",Yes,Unsecured
North Branch,Branch,Auto,2023 VY,"$71,700",Refinance,"$23,880","$21,700",Employed,60-month,8.72%,Simple,On time,No,No,18031.74,3 stars,2,9,1 borrower,"$1,130","$16,080",Yes,Unsecured
North Branch,Online,Personal,2022 VY,"$74,200",Purchase,"$19,330","$17,000",Public,36-month,4.19%,Simple,2-year prior,No,Yes,17117.55,5 stars,5,15,2 borrowers,$0,"$13,760",No,Real-estate
Capitol Branch,Broker,SME,2021 VY,"$172,100",Purchase,"$23,860","$92,800",Employed,60-month,4.81%,Schedule-heavy,On time,Yes,No,80589.12,3 stars,0,22,1 borrower,$0,"$29,210",Yes,Real-estate
Prairie Branch,Branch,Personal,2023 VY,"$61,500",Purchase,"$24,770","$17,300",Retired,36-month,8.86%,Simple,Late docs,Yes,Yes,14908.9,2 stars,8,12,1 borrower,$0,"$5,210",Yes,Real-estate
Highland Branch,Branch,SME,2020 VY,"$106,300",Purchase,"$4,690","$77,000",Employed,60-month,4.50%,Schedule-heavy,On time,No,Yes,74428.78,3 stars,2,18,1 borrower,$0,"$5,170",Yes,Auto
North Branch,Broker,Auto,2023 VY,"$73,900",Purchase,"$8,570","$33,500",Self-employed,30-month,7.07%,Simple,On time,No,No,25014.59,2 stars,3,10,1 borrower,"$4,820","$14,280",Yes,Auto
Highland Branch,Broker,Auto,2022 VY,"$35,100",Purchase,"$7,490","$28,000",Self-employed,60-month,10.43%,Simple,2-year prior,No,No,17219.66,2 stars,8,8,4 borrowers,"$6,700","$5,290",Yes,Unsecured
River Branch,Online,Auto,2020 VY,"$21,100",Purchase,"$4,560","$26,200",Public,60-month,8.93%,Simple,2-year prior,Yes,No,12276.92,1 star,7,3,1 borrower,"$1,910","$3,440",Yes,Auto
River Branch,Online,Student,2019 VY,"$31,900",Purchase,"$8,720","$21,100",Employed,120-month,11.59%,Simple,On time,Yes,No,14740.22,2 stars,0,6,3 borrowers,$0,"$7,790",Yes,Unsecured
